"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Greene County, IN"	"18055"	24	32211	0.74509
	"Hamilton County, IN"	"18057"	73	316373	0.23074
	"Hancock County, IN"	"18059"	35	73717	0.47479
	"Harrison County, IN"	"18061"	22	39826	0.55240
	"Hendricks County, IN"	"18063"	38	160610	0.23660
	"Henry County, IN"	"18065"	18	48521	Unreliable
	"Howard County, IN"	"18067"	38	82568	0.46023
	"Huntington County, IN"	"18069"	12	36400	Unreliable
	"Jackson County, IN"	"18071"	24	44013	0.54529
	"Jasper County, IN"	"18073"	10	33433	Unreliable
	"Jay County, IN"	"18075"	11	21046	Unreliable
	"Johnson County, IN"	"18081"	66	151982	0.43426
	"Knox County, IN"	"18083"	19	37744	Unreliable
	"Kosciusko County, IN"	"18085"	26	79092	0.32873
	"Lake County, IN"	"18089"	140	485846	0.28816
	"La Porte County, IN"	"18091"	32	110015	0.29087
	"Lawrence County, IN"	"18093"	30	45518	0.65908
	"Madison County, IN"	"18095"	74	129296	0.57233
	"Marion County, IN"	"18097"	284	941229	0.30173
	"Marshall County, IN"	"18099"	32	46556	0.68734
	"Miami County, IN"	"18103"	14	35883	Unreliable
	"Monroe County, IN"	"18105"	47	145496	0.32303
	"Montgomery County, IN"	"18107"	21	38074	0.55156
	"Morgan County, IN"	"18109"	21	69698	0.30130
	"Noble County, IN"	"18113"	18	47638	Unreliable
	"Orange County, IN"	"18117"	17	19335	Unreliable
	"Perry County, IN"	"18123"	12	18966	Unreliable
	"Pike County, IN"	"18125"	10	12431	Unreliable
	"Porter County, IN"	"18127"	75	167791	0.44698
	"Posey County, IN"	"18129"	16	25476	Unreliable
	"Putnam County, IN"	"18133"	17	37436	Unreliable
	"Ripley County, IN"	"18137"	10	28846	Unreliable
	"Rush County, IN"	"18139"	10	16649	Unreliable
	"St. Joseph County, IN"	"18141"	123	269141	0.45701
	"Scott County, IN"	"18143"	12	23730	Unreliable
	"Shelby County, IN"	"18145"	16	44324	Unreliable
	"Spencer County, IN"	"18147"	15	20648	Unreliable
	"Sullivan County, IN"	"18153"	13	20802	Unreliable
	"Tippecanoe County, IN"	"18157"	57	188059	0.30310
	"Vanderburgh County, IN"	"18163"	93	181721	0.51177
	"Vermillion County, IN"	"18165"	12	15645	Unreliable
	"Vigo County, IN"	"18167"	77	107931	0.71342
	"Wabash County, IN"	"18169"	27	31762	0.85007
	"Warrick County, IN"	"18173"	35	62498	0.56002
	"Wayne County, IN"	"18177"	34	66568	0.51076
	"Wells County, IN"	"18179"	15	27949	Unreliable
	"White County, IN"	"18181"	17	23999	Unreliable
	"Whitley County, IN"	"18183"	14	33449	Unreliable
	"Allamakee County, IA"	"19005"	15	13884	Unreliable
	"Appanoose County, IA"	"19007"	10	12462	Unreliable
	"Black Hawk County, IA"	"19013"	44	132904	0.33107
	"Boone County, IA"	"19015"	23	26532	0.86688
	"Buchanan County, IA"	"19019"	10	20992	Unreliable
	"Cerro Gordo County, IA"	"19033"	31	43070	0.71976
	"Clinton County, IA"	"19045"	33	47309	0.69754
	"Crawford County, IA"	"19047"	11	16940	Unreliable
	"Dallas County, IA"	"19049"	48	84516	0.56794
	"Des Moines County, IA"	"19057"	25	39739	0.62910
	"Dickinson County, IA"	"19059"	11	17243	Unreliable
	"Dubuque County, IA"	"19061"	63	97003	0.64946
	"Fayette County, IA"	"19065"	14	20054	Unreliable
	"Hamilton County, IA"	"19079"	13	15076	Unreliable
	"Hardin County, IA"	"19083"	12	17226	Unreliable
	"Iowa County, IA"	"19095"	10	16311	Unreliable
	"Jasper County, IA"	"19099"	10	36708	Unreliable
