"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Troup County, GA"	"13285"	29	70005	0.41426
	"Union County, GA"	"13291"	11	22928	Unreliable
	"Walker County, GA"	"13295"	12	67896	Unreliable
	"Walton County, GA"	"13297"	18	90184	Unreliable
	"Ware County, GA"	"13299"	10	35738	Unreliable
	"Wayne County, GA"	"13305"	10	30104	Unreliable
	"Whitfield County, GA"	"13313"	31	104589	0.29640
	"Worth County, GA"	"13321"	11	20748	Unreliable
	"Hawaii County, HI"	"15001"	30	198449	0.15117
	"Honolulu County, HI"	"15003"	198	992605	0.19948
	"Kauai County, HI"	"15007"	21	72029	0.29155
	"Maui County, HI"	"15009"	36	165386	0.21767
	"Ada County, ID"	"16001"	76	444028	0.17116
	"Bannock County, ID"	"16005"	25	84377	0.29629
	"Bingham County, ID"	"16011"	16	45201	Unreliable
	"Bonner County, ID"	"16017"	14	42536	Unreliable
	"Bonneville County, ID"	"16019"	24	112232	0.21384
	"Canyon County, ID"	"16027"	36	211698	0.17005
	"Kootenai County, ID"	"16055"	35	154311	0.22681
	"Nez Perce County, ID"	"16069"	24	40369	0.59452
	"Twin Falls County, ID"	"16083"	21	83514	0.25145
	"Adams County, IL"	"17001"	11	66578	Unreliable
	"Boone County, IL"	"17007"	18	53503	Unreliable
	"Bureau County, IL"	"17011"	10	33359	Unreliable
	"Champaign County, IL"	"17019"	14	208419	Unreliable
	"Clinton County, IL"	"17027"	10	37729	Unreliable
	"Cook County, IL"	"17031"	1147	5203499	0.22043
	"DeKalb County, IL"	"17037"	26	104528	0.24874
	"DuPage County, IL"	"17043"	120	929368	0.12912
	"Franklin County, IL"	"17055"	15	39156	Unreliable
	"Grundy County, IL"	"17063"	14	50437	Unreliable
	"Henry County, IL"	"17073"	15	49280	Unreliable
	"Iroquois County, IL"	"17075"	19	28334	Unreliable
	"Jackson County, IL"	"17077"	10	58870	Unreliable
	"Jefferson County, IL"	"17081"	23	38460	0.59802
	"Jersey County, IL"	"17083"	10	22025	Unreliable
	"Kane County, IL"	"17089"	85	531715	0.15986
	"Kankakee County, IL"	"17091"	22	110008	0.19999
	"Kendall County, IL"	"17093"	11	124695	Unreliable
	"Knox County, IL"	"17095"	28	50938	0.54969
	"Lake County, IL"	"17097"	112	703047	0.15931
	"LaSalle County, IL"	"17099"	37	110642	0.33441
	"Lawrence County, IL"	"17101"	12	16377	Unreliable
	"Livingston County, IL"	"17105"	10	36526	Unreliable
	"McHenry County, IL"	"17111"	65	307004	0.21172
	"McLean County, IL"	"17113"	22	172418	0.12760
	"Macon County, IL"	"17115"	20	106550	0.18771
	"Macoupin County, IL"	"17117"	17	45908	Unreliable
	"Madison County, IL"	"17119"	76	265759	0.28597
	"Marion County, IL"	"17121"	22	38140	0.57682
	"Peoria County, IL"	"17143"	51	185006	0.27567
	"Perry County, IL"	"17145"	12	21357	Unreliable
	"Pike County, IL"	"17149"	10	15950	Unreliable
	"Rock Island County, IL"	"17161"	30	144784	0.20721
	"St. Clair County, IL"	"17163"	75	262759	0.28543
	"Saline County, IL"	"17165"	12	24307	Unreliable
	"Sangamon County, IL"	"17167"	54	197499	0.27342
	"Stephenson County, IL"	"17177"	22	45624	0.48220
	"Tazewell County, IL"	"17179"	29	134385	0.21580
	"Vermilion County, IL"	"17183"	21	78111	0.26885
	"Whiteside County, IL"	"17195"	19	56536	Unreliable
	"Will County, IL"	"17197"	114	689529	0.16533
	"Williamson County, IL"	"17199"	19	67560	Unreliable
	"Winnebago County, IL"	"17201"	67	285873	0.23437
	"Woodford County, IL"	"17203"	12	39140	Unreliable
	"Adams County, IN"	"18001"	12	35232	Unreliable
	"Allen County, IN"	"18003"	127	370404	0.34287
	"Bartholomew County, IN"	"18005"	12	81402	Unreliable
	"Boone County, IN"	"18011"	23	64653	0.35575
	"Cass County, IN"	"18017"	26	37946	0.68518
	"Clark County, IN"	"18019"	21	116031	0.18099
	"Daviess County, IN"	"18027"	10	32969	Unreliable
	"Dearborn County, IN"	"18029"	12	49331	Unreliable
	"Delaware County, IN"	"18035"	68	115603	0.58822
	"Dubois County, IN"	"18037"	12	42552	Unreliable
	"Elkhart County, IN"	"18039"	61	203781	0.29934
	"Fayette County, IN"	"18041"	10	23331	Unreliable
	"Floyd County, IN"	"18043"	33	76990	0.42863
	"Fulton County, IN"	"18049"	10	20139	Unreliable
	"Gibson County, IN"	"18051"	13	33703	Unreliable
	"Grant County, IN"	"18053"	35	66937	0.52288
	"Greene County, IN"	"18055"	15	32211	Unreliable
	"Hamilton County, IN"	"18057"	59	316373	0.18649
	"Hancock County, IN"	"18059"	11	73717	Unreliable
	"Hendricks County, IN"	"18063"	35	160610	0.21792
	"Henry County, IN"	"18065"	18	48521	Unreliable
	"Howard County, IN"	"18067"	47	82568	0.56923
	"Huntington County, IN"	"18069"	22	36400	0.60440
	"Jackson County, IN"	"18071"	17	44013	Unreliable
	"Jay County, IN"	"18075"	18	21046	Unreliable
	"Jefferson County, IN"	"18077"	10	32418	Unreliable
	"Johnson County, IN"	"18081"	25	151982	0.16449
	"Knox County, IN"	"18083"	14	37744	Unreliable
	"Kosciusko County, IN"	"18085"	28	79092	0.35402
	"Lake County, IN"	"18089"	163	485846	0.33550
	"La Porte County, IN"	"18091"	47	110015	0.42721
	"Lawrence County, IN"	"18093"	21	45518	0.46136
	"Madison County, IN"	"18095"	52	129296	0.40218
	"Marion County, IN"	"18097"	252	941229	0.26774
	"Monroe County, IN"	"18105"	17	145496	Unreliable
	"Montgomery County, IN"	"18107"	12	38074	Unreliable
	"Morgan County, IN"	"18109"	16	69698	Unreliable
	"Noble County, IN"	"18113"	16	47638	Unreliable
	"Owen County, IN"	"18119"	10	20840	Unreliable
	"Pike County, IN"	"18125"	16	12431	Unreliable
	"Porter County, IN"	"18127"	47	167791	0.28011
	"St. Joseph County, IN"	"18141"	83	269141	0.30839
	"Scott County, IN"	"18143"	10	23730	Unreliable
	"Tippecanoe County, IN"	"18157"	17	188059	Unreliable
	"Vanderburgh County, IN"	"18163"	66	181721	0.36319
	"Vermillion County, IN"	"18165"	11	15645	Unreliable
	"Vigo County, IN"	"18167"	27	107931	0.25016
	"Wabash County, IN"	"18169"	17	31762	Unreliable
	"Warrick County, IN"	"18173"	10	62498	Unreliable
	"Washington County, IN"	"18175"	11	27670	Unreliable
	"Wayne County, IN"	"18177"	29	66568	0.43564
	"Black Hawk County, IA"	"19013"	35	132904	0.26335
	"Boone County, IA"	"19015"	14	26532	Unreliable
	"Buena Vista County, IA"	"19021"	12	20332	Unreliable
	"Cedar County, IA"	"19031"	10	18454	Unreliable
	"Clinton County, IA"	"19045"	19	47309	Unreliable
	"Dallas County, IA"	"19049"	10	84516	Unreliable
	"Des Moines County, IA"	"19057"	12	39739	Unreliable
	"Dubuque County, IA"	"19061"	19	97003	Unreliable
	"Jasper County, IA"	"19099"	15	36708	Unreliable
	"Johnson County, IA"	"19103"	12	146547	Unreliable
	"Linn County, IA"	"19113"	46	221661	0.20752
	"Marion County, IA"	"19125"	10	33189	Unreliable
	"Marshall County, IA"	"19127"	18	40312	Unreliable
	"Muscatine County, IA"	"19139"	14	42940	Unreliable
	"Plymouth County, IA"	"19149"	13	25200	Unreliable
	"Polk County, IA"	"19153"	98	474045	0.20673
	"Pottawattamie County, IA"	"19155"	13	93582	Unreliable
	"Poweshiek County, IA"	"19157"	10	18533	Unreliable
	"Scott County, IA"	"19163"	41	172474	0.23772
	"Sioux County, IA"	"19167"	10	34898	Unreliable
	"Story County, IA"	"19169"	15	97090	Unreliable
	"Woodbury County, IA"	"19193"	35	102779	0.34054
	"Cowley County, KS"	"20035"	10	35753	Unreliable
	"Crawford County, KS"	"20037"	13	39164	Unreliable
	"Douglas County, KS"	"20045"	15	119440	Unreliable
	"Franklin County, KS"	"20059"	12	25560	Unreliable
	"Harvey County, KS"	"20079"	16	34913	Unreliable
	"Johnson County, KS"	"20091"	73	584451	0.12490
	"Leavenworth County, KS"	"20103"	19	80204	Unreliable
	"Lyon County, KS"	"20111"	10	33510	Unreliable
	"Montgomery County, KS"	"20125"	16	32746	Unreliable
	"Reno County, KS"	"20155"	19	63220	Unreliable
	"Saline County, KS"	"20169"	12	55142	Unreliable
	"Sedgwick County, KS"	"20173"	131	511995	0.25586
	"Shawnee County, KS"	"20177"	56	178146	0.31435
	"Sumner County, KS"	"20191"	13	23272	Unreliable
	"Wyandotte County, KS"	"20209"	48	163831	0.29298
	"Bell County, KY"	"21013"	22	27117	0.81130
	"Boone County, KY"	"21015"	41	128536	0.31898
	"Boyd County, KY"	"21019"	14	48132	Unreliable
	"Bullitt County, KY"	"21029"	17	79151	Unreliable
	"Campbell County, KY"	"21037"	23	92211	0.24943
	"Christian County, KY"	"21047"	28	72351	0.38700
	"Clark County, KY"	"21049"	14	35819	Unreliable
	"Clay County, KY"	"21051"	13	20766	Unreliable
	"Daviess County, KY"	"21059"	25	99674	0.25082
	"Fayette County, KY"	"21067"	64	318449	0.20097
	"Floyd County, KY"	"21071"	15	37110	Unreliable
	"Franklin County, KY"	"21073"	10	50560	Unreliable
	"Grant County, KY"	"21081"	10	24923	Unreliable
	"Graves County, KY"	"21083"	16	37182	Unreliable
	"Grayson County, KY"	"21085"	11	26184	Unreliable
	"Greenup County, KY"	"21089"	14	35893	Unreliable
	"Hardin County, KY"	"21093"	35	107316	0.32614
	"Harlan County, KY"	"21095"	13	27168	Unreliable
	"Hart County, KY"	"21099"	12	18627	Unreliable
	"Henderson County, KY"	"21101"	27	46253	0.58375
	"Hopkins County, KY"	"21107"	18	45904	Unreliable
	"Jefferson County, KY"	"21111"	233	765352	0.30444
	"Johnson County, KY"	"21115"	16	22978	Unreliable
	"Kenton County, KY"	"21117"	68	164945	0.41226
	"Knox County, KY"	"21121"	32	31687	1.00988
	"Laurel County, KY"	"21125"	17	60250	Unreliable
	"Lawrence County, KY"	"21127"	10	15863	Unreliable
	"Letcher County, KY"	"21133"	18	22773	Unreliable
	"Logan County, KY"	"21141"	19	26593	Unreliable
	"Lyon County, KY"	"21143"	12	8069	Unreliable
	"McCracken County, KY"	"21145"	19	65162	Unreliable
	"McCreary County, KY"	"21147"	11	17511	Unreliable
	"Madison County, KY"	"21151"	14	89547	Unreliable
	"Marion County, KY"	"21155"	10	19205	Unreliable
	"Mason County, KY"	"21161"	13	17190	Unreliable
	"Mercer County, KY"	"21167"	12	21477	Unreliable
	"Morgan County, KY"	"21175"	14	13298	Unreliable
	"Nelson County, KY"	"21179"	12	45559	Unreliable
	"Perry County, KY"	"21193"	11	27343	Unreliable
	"Pike County, KY"	"21195"	25	60555	0.41285
	"Pulaski County, KY"	"21199"	46	63956	0.71924
	"Russell County, KY"	"21207"	14	17722	Unreliable
	"Scott County, KY"	"21209"	12	53972	Unreliable
	"Taylor County, KY"	"21217"	19	25397	Unreliable
	"Union County, KY"	"21225"	12	14880	Unreliable
	"Warren County, KY"	"21227"	17	125532	Unreliable
	"Whitley County, KY"	"21235"	14	36096	Unreliable
	"Acadia Parish, LA"	"22001"	17	62645	Unreliable
	"Avoyelles Parish, LA"	"22009"	12	41117	Unreliable
	"Bossier Parish, LA"	"22015"	20	126057	0.15866
	"Caddo Parish, LA"	"22017"	198	248851	0.79566
	"Calcasieu Parish, LA"	"22019"	40	200601	0.19940
	"Concordia Parish, LA"	"22029"	18	19920	Unreliable
	"East Baton Rouge Parish, LA"	"22033"	27	447037	0.06040
	"Evangeline Parish, LA"	"22039"	16	33709	Unreliable
	"Iberia Parish, LA"	"22045"	10	73273	Unreliable
	"Iberville Parish, LA"	"22047"	19	32920	Unreliable
	"Jefferson Parish, LA"	"22051"	112	436523	0.25657
	"Jefferson Davis Parish, LA"	"22053"	19	31413	Unreliable
	"Lafayette Parish, LA"	"22055"	62	241398	0.25684
	"Lafourche Parish, LA"	"22057"	43	98305	0.43741
	"LaSalle Parish, LA"	"22059"	10	15052	Unreliable
	"Lincoln Parish, LA"	"22061"	35	47745	0.73306
	"Livingston Parish, LA"	"22063"	14	140138	Unreliable
	"Morehouse Parish, LA"	"22067"	23	26071	0.88221
	"Natchitoches Parish, LA"	"22069"	10	39162	Unreliable
	"Orleans Parish, LA"	"22071"	60	391495	0.15326
	"Ouachita Parish, LA"	"22073"	169	156983	1.07655
	"Rapides Parish, LA"	"22079"	14	132424	Unreliable
	"St. Bernard Parish, LA"	"22087"	14	45688	Unreliable
	"St. Landry Parish, LA"	"22097"	24	83883	0.28611
	"St. Mary Parish, LA"	"22101"	31	52093	0.59509
	"St. Tammany Parish, LA"	"22103"	32	253602	0.12618
	"Tangipahoa Parish, LA"	"22105"	28	130710	0.21421
	"Terrebonne Parish, LA"	"22109"	32	113220	0.28264
	"Union Parish, LA"	"22111"	19	22487	Unreliable
	"Vernon Parish, LA"	"22115"	12	50569	Unreliable
	"Washington Parish, LA"	"22117"	15	46310	Unreliable
	"Webster Parish, LA"	"22119"	23	39710	0.57920
	"West Baton Rouge Parish, LA"	"22121"	10	25795	Unreliable
	"Androscoggin County, ME"	"23001"	33	107319	0.30749
	"Aroostook County, ME"	"23003"	37	67959	0.54445
	"Cumberland County, ME"	"23005"	63	292041	0.21572
	"Franklin County, ME"	"23007"	12	30001	Unreliable
	"Hancock County, ME"	"23009"	19	54419	Unreliable
	"Kennebec County, ME"	"23011"	45	120569	0.37323
	"Knox County, ME"	"23013"	15	39744	Unreliable
	"Lincoln County, ME"	"23015"	18	34216	Unreliable
	"Oxford County, ME"	"23017"	36	57217	0.62918
	"Penobscot County, ME"	"23019"	64	151806	0.42159
	"Somerset County, ME"	"23025"	27	50915	0.53030
	"Washington County, ME"	"23029"	12	31450	Unreliable
	"York County, ME"	"23031"	65	202343	0.32124
	"Allegany County, MD"	"24001"	18	72130	Unreliable
	"Anne Arundel County, MD"	"24003"	121	568346	0.21290
	"Baltimore County, MD"	"24005"	224	831026	0.26955
	"Calvert County, MD"	"24009"	14	91251	Unreliable
	"Carroll County, MD"	"24013"	36	167656	0.21473
	"Cecil County, MD"	"24015"	23	102603	0.22416
	"Charles County, MD"	"24017"	39	157705	0.24730
	"Dorchester County, MD"	"24019"	18	32258	Unreliable
	"Frederick County, MD"	"24021"	46	247591	0.18579
	"Garrett County, MD"	"24023"	15	29425	Unreliable
	"Harford County, MD"	"24025"	56	251032	0.22308
	"Howard County, MD"	"24027"	25	317233	0.07881
	"Montgomery County, MD"	"24031"	145	1043863	0.13891
	"Prince George's County, MD"	"24033"	224	908049	0.24668
	"Queen Anne's County, MD"	"24035"	10	48929	Unreliable
	"St. Mary's County, MD"	"24037"	19	112587	Unreliable
	"Washington County, MD"	"24043"	54	150292	0.35930
	"Wicomico County, MD"	"24045"	22	102577	0.21447
	"Worcester County, MD"	"24047"	21	51444	0.40821
	"Baltimore city, MD"	"24510"	201	614664	0.32701
	"Barnstable County, MA"	"25001"	57	214276	0.26601
	"Berkshire County, MA"	"25003"	36	126903	0.28368
	"Bristol County, MA"	"25005"	131	558324	0.23463
	"Essex County, MA"	"25009"	154	779018	0.19768
	"Franklin County, MA"	"25011"	10	70382	Unreliable
	"Hampden County, MA"	"25013"	96	468467	0.20492
	"Hampshire County, MA"	"25015"	21	161816	0.12978
	"Middlesex County, MA"	"25017"	272	1589774	0.17109
	"Norfolk County, MA"	"25021"	110	697181	0.15778
	"Plymouth County, MA"	"25023"	77	513565	0.14993
	"Suffolk County, MA"	"25025"	145	784230	0.18489
	"Worcester County, MA"	"25027"	153	819589	0.18668
	"Allegan County, MI"	"26005"	27	115548	0.23367
	"Alpena County, MI"	"26007"	12	28704	Unreliable
	"Barry County, MI"	"26015"	24	59702	0.40200
	"Bay County, MI"	"26017"	29	104747	0.27686
	"Berrien County, MI"	"26021"	66	154010	0.42854
	"Branch County, MI"	"26023"	10	43427	Unreliable
	"Calhoun County, MI"	"26025"	43	134386	0.31997
	"Cass County, MI"	"26027"	10	51599	Unreliable
	"Chippewa County, MI"	"26033"	12	37724	Unreliable
	"Clare County, MI"	"26035"	13	30358	Unreliable
