,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
1033,"Grant County, Kentucky",21081,75.37,KY-Grant County,"11,153 ","11,780 "
1034,"Graves County, Kentucky",21083,76.07,KY-Graves County,"9,440 ","11,006 "
1035,"Grayson County, Kentucky",21085,74.94,KY-Grayson County,"10,345 ","12,090 "
1036,"Green County, Kentucky",21087,77.19,KY-Green County,"11,226 ","13,159 "
1037,"Greenup County, Kentucky",21089,75.98,KY-Greenup County,"10,474 ","11,543 "
1038,"Hancock County, Kentucky",21091,77.17,KY-Hancock County,"8,815 ","9,680 "
1039,"Hardin County, Kentucky",21093,77.18,KY-Hardin County,"8,828 ","10,200 "
1040,"Harlan County, Kentucky",21095,71.45,KY-Harlan County,"9,791 ","11,078 "
1041,"Harrison County, Kentucky",21097,75.71,KY-Harrison County,"8,887 ","9,953 "
1042,"Hart County, Kentucky",21099,75.48,KY-Hart County,"9,926 ","11,452 "
1043,"Henderson County, Kentucky",21101,76.54,KY-Henderson County,"10,381 ","11,626 "
1044,"Henry County, Kentucky",21103,76.21,KY-Henry County,"9,662 ","10,624 "
1045,"Hickman County, Kentucky",21105,76.69,KY-Hickman County,"9,333 ","10,720 "
1046,"Hopkins County, Kentucky",21107,75.01,KY-Hopkins County,"9,161 ","10,409 "
1047,"Jackson County, Kentucky",21109,73.31,KY-Jackson County,"9,166 ","10,102 "
1048,"Jefferson County, Kentucky",21111,77.01,KY-Jefferson County,"9,360 ","10,254 "
1049,"Jessamine County, Kentucky",21113,77.54,KY-Jessamine County,"9,226 ","10,091 "
1050,"Johnson County, Kentucky",21115,73.54,KY-Johnson County,"10,755 ","12,178 "
1051,"Kenton County, Kentucky",21117,77.06,KY-Kenton County,"10,802 ","11,356 "
1052,"Knott County, Kentucky",21119,72.98,KY-Knott County,"10,755 ","11,819 "
1053,"Knox County, Kentucky",21121,73.25,KY-Knox County,"10,472 ","12,125 "
1054,"Larue County, Kentucky",21123,76.69,KY-Larue County,"8,457 ","9,959 "
1055,"Laurel County, Kentucky",21125,75.49,KY-Laurel County,"9,063 ","10,111 "
1056,"Lawrence County, Kentucky",21127,73.37,KY-Lawrence County,"9,704 ","10,858 "
1057,"Lee County, Kentucky",21129,71.61,KY-Lee County,"11,451 ","12,815 "
1058,"Leslie County, Kentucky",21131,71.17,KY-Leslie County,"11,834 ","13,534 "
1059,"Letcher County, Kentucky",21133,72.35,KY-Letcher County,"11,693 ","12,838 "
1060,"Lewis County, Kentucky",21135,74.84,KY-Lewis County,"10,505 ","11,259 "
1061,"Lincoln County, Kentucky",21137,75.37,KY-Lincoln County,"9,147 ","10,353 "
1062,"Livingston County, Kentucky",21139,75.37,KY-Livingston County,"10,153 ","11,972 "
1063,"Logan County, Kentucky",21141,75.81,KY-Logan County,"9,985 ","11,393 "
1064,"Lyon County, Kentucky",21143,76.61,KY-Lyon County,"9,133 ","10,567 "
1065,"Madison County, Kentucky",21151,77.19,KY-Madison County,"9,083 ","9,924 "
1066,"Magoffin County, Kentucky",21153,72.60,KY-Magoffin County,"11,447 ","12,847 "
1067,"Marion County, Kentucky",21155,76.62,KY-Marion County,"8,620 ","9,752 "
1068,"Marshall County, Kentucky",21157,76.46,KY-Marshall County,"9,032 ","10,795 "
1069,"Martin County, Kentucky",21159,72.56,KY-Martin County,"12,561 ","13,807 "
1070,"Mason County, Kentucky",21161,75.00,KY-Mason County,"9,777 ","10,654 "
1071,"McCracken County, Kentucky",21145,76.41,KY-McCracken County,"8,580 ","10,011 "
1072,"McCreary County, Kentucky",21147,72.85,KY-McCreary County,"10,056 ","11,225 "
1073,"McLean County, Kentucky",21149,75.59,KY-McLean County,"10,545 ","11,660 "
1074,"Meade County, Kentucky",21163,77.29,KY-Meade County,"9,307 ","10,530 "
1075,"Menifee County, Kentucky",21165,74.79,KY-Menifee County,"10,153 ","10,934 "
1076,"Mercer County, Kentucky",21167,76.03,KY-Mercer County,"9,512 ","10,554 "
1077,"Metcalfe County, Kentucky",21169,74.69,KY-Metcalfe County,"10,321 ","11,901 "
1078,"Monroe County, Kentucky",21171,73.83,KY-Monroe County,"11,736 ","13,652 "
1079,"Montgomery County, Kentucky",21173,75.98,KY-Montgomery County,"10,004 ","11,177 "
1080,"Morgan County, Kentucky",21175,75.65,KY-Morgan County,"10,551 ","11,506 "
1081,"Muhlenberg County, Kentucky",21177,75.03,KY-Muhlenberg County,"9,541 ","10,769 "
1082,"Nelson County, Kentucky",21179,77.42,KY-Nelson County,"9,114 ","10,564 "
1083,"Nicholas County, Kentucky",21181,73.84,KY-Nicholas County,"10,631 ","11,647 "
1084,"Ohio County, Kentucky",21183,76.01,KY-Ohio County,"9,630 ","11,349 "
1085,"Oldham County, Kentucky",21185,79.56,KY-Oldham County,"8,708 ","9,652 "
1086,"Owen County, Kentucky",21187,76.62,KY-Owen County,"10,593 ","11,661 "
1087,"Owsley County, Kentucky",21189,70.21,KY-Owsley County,"11,572 ","13,002 "
1088,"Pendleton County, Kentucky",21191,75.63,KY-Pendleton County,"9,548 ","10,117 "
1089,"Perry County, Kentucky",21193,70.60,KY-Perry County,"11,868 ","13,293 "
1090,"Pike County, Kentucky",21195,72.41,KY-Pike County,"11,258 ","11,679 "
1091,"Powell County, Kentucky",21197,71.60,KY-Powell County,"9,306 ","10,112 "
1092,"Pulaski County, Kentucky",21199,75.19,KY-Pulaski County,"9,425 ","10,496 "
1093,"Robertson County, Kentucky",21201,74.98,KY-Robertson County,"9,157 ","10,391 "
1094,"Rockcastle County, Kentucky",21203,74.17,KY-Rockcastle County,"9,026 ","10,002 "
1095,"Rowan County, Kentucky",21205,75.91,KY-Rowan County,"10,566 ","11,646 "
1096,"Russell County, Kentucky",21207,75.58,KY-Russell County,"8,648 ","9,832 "
1097,"Scott County, Kentucky",21209,78.07,KY-Scott County,"9,827 ","10,535 "
1098,"Shelby County, Kentucky",21211,78.42,KY-Shelby County,"9,413 ","10,718 "
1099,"Simpson County, Kentucky",21213,75.86,KY-Simpson County,"10,595 ","13,102 "
1100,"Spencer County, Kentucky",21215,77.64,KY-Spencer County,"9,411 ","10,531 "
1101,"Taylor County, Kentucky",21217,76.02,KY-Taylor County,"10,071 ","11,234 "
1102,"Todd County, Kentucky",21219,75.78,KY-Todd County,"10,205 ","11,580 "
1103,"Trigg County, Kentucky",21221,76.29,KY-Trigg County,"10,003 ","11,669 "
1104,"Trimble County, Kentucky",21223,76.32,KY-Trimble County,"9,661 ","10,645 "
1105,"Union County, Kentucky",21225,75.23,KY-Union County,"10,475 ","12,017 "
1106,"Warren County, Kentucky",21227,77.26,KY-Warren County,"9,394 ","10,805 "
1107,"Washington County, Kentucky",21229,77.76,KY-Washington County,"10,256 ","11,629 "
1108,"Wayne County, Kentucky",21231,75.52,KY-Wayne County,"8,847 ","10,439 "
1109,"Webster County, Kentucky",21233,75.22,KY-Webster County,"9,820 ","11,060 "
1110,"Whitley County, Kentucky",21235,72.59,KY-Whitley County,"10,314 ","11,460 "
1111,"Wolfe County, Kentucky",21237,71.15,KY-Wolfe County,"9,449 ","10,240 "
1112,"Woodford County, Kentucky",21239,78.17,KY-Woodford County,"9,280 ","9,903 "
1113,"Acadia Parish, Louisiana",22001,74.23,LA-Acadia Parish,"10,893 ","12,652 "
1114,"Allen Parish, Louisiana",22003,77.13,LA-Allen Parish,"11,088 ","12,629 "
1115,"Ascension Parish, Louisiana",22005,77.14,LA-Ascension Parish,"10,631 ","11,880 "
1116,"Assumption Parish, Louisiana",22007,76.84,LA-Assumption Parish,"9,156 ","10,467 "
1117,"Avoyelles Parish, Louisiana",22009,74.03,LA-Avoyelles Parish,"11,343 ","12,995 "
1118,"Beauregard Parish, Louisiana",22011,75.09,LA-Beauregard Parish,"11,267 ","12,757 "
1119,"Bienville Parish, Louisiana",22013,73.90,LA-Bienville Parish,"12,558 ","13,109 "
1120,"Bossier Parish, Louisiana",22015,77.14,LA-Bossier Parish,"11,391 ","12,456 "
1121,"Caddo Parish, Louisiana",22017,74.89,LA-Caddo Parish,"10,754 ","11,610 "
1122,"Calcasieu Parish, Louisiana",22019,75.13,LA-Calcasieu Parish,"9,723 ","10,927 "
1123,"Caldwell Parish, Louisiana",22021,73.06,LA-Caldwell Parish,"14,625 ","16,953 "
1124,"Cameron Parish, Louisiana",22023,78.15,LA-Cameron Parish,"8,083 ","9,031 "
1125,"Catahoula Parish, Louisiana",22025,73.17,LA-Catahoula Parish,"11,220 ","12,958 "
1126,"Claiborne Parish, Louisiana",22027,75.48,LA-Claiborne Parish,"10,719 ","11,855 "
1127,"Concordia Parish, Louisiana",22029,73.94,LA-Concordia Parish,"10,332 ","12,356 "
1128,"De Soto Parish, Louisiana",22031,74.86,LA-De Soto Parish,"10,544 ","11,435 "
1129,"East Baton Rouge Parish, Louisiana",22033,76.35,LA-East Baton Rouge Parish,"9,349 ","10,405 "
1130,"East Carroll Parish, Louisiana",22035,72.17,LA-East Carroll Parish,"11,937 ","13,802 "
1131,"East Feliciana Parish, Louisiana",22037,72.64,LA-East Feliciana Parish,"10,095 ","11,501 "
1132,"Evangeline Parish, Louisiana",22039,74.05,LA-Evangeline Parish,"12,438 ","14,384 "
1133,"Franklin Parish, Louisiana",22041,73.62,LA-Franklin Parish,"12,375 ","14,423 "
1134,"Grant Parish, Louisiana",22043,74.75,LA-Grant Parish,"10,452 ","11,910 "
1135,"Iberia Parish, Louisiana",22045,75.44,LA-Iberia Parish,"9,545 ","11,114 "
1136,"Iberville Parish, Louisiana",22047,74.92,LA-Iberville Parish,"9,788 ","10,912 "
1137,"Jackson Parish, Louisiana",22049,75.07,LA-Jackson Parish,"11,905 ","13,388 "
1138,"Jefferson Davis Parish, Louisiana",22053,74.73,LA-Jefferson Davis Parish,"10,628 ","12,389 "
1139,"Jefferson Parish, Louisiana",22051,77.28,LA-Jefferson Parish,"10,245 ","10,808 "
1140,"LaSalle Parish, Louisiana",22059,74.77,LA-La Salle Parish,"11,470 ","13,603 "
1141,"Lafayette Parish, Louisiana",22055,77.49,LA-Lafayette Parish,"9,639 ","11,215 "
1142,"Lafourche Parish, Louisiana",22057,76.89,LA-Lafourche Parish,"9,126 ","10,505 "
1143,"Lincoln Parish, Louisiana",22061,77.43,LA-Lincoln Parish,"10,446 ","11,807 "
1144,"Livingston Parish, Louisiana",22063,75.61,LA-Livingston Parish,"11,394 ","12,607 "
1145,"Madison Parish, Louisiana",22065,71.57,LA-Madison Parish,"12,681 ","13,868 "
1146,"Morehouse Parish, Louisiana",22067,72.80,LA-Morehouse Parish,"11,168 ","12,720 "
1147,"Natchitoches Parish, Louisiana",22069,75.61,LA-Natchitoches Parish,"11,296 ","12,831 "
1148,"Orleans Parish, Louisiana",22071,75.80,LA-Orleans Parish,"10,251 ","10,216 "
1149,"Ouachita Parish, Louisiana",22073,75.46,LA-Ouachita Parish,"11,086 ","12,747 "
1150,"Plaquemines Parish, Louisiana",22075,76.84,LA-Plaquemines Parish,"10,753 ","10,901 "
1151,"Pointe Coupee Parish, Louisiana",22077,75.81,LA-Pointe Coupee Parish,"9,065 ","9,777 "
1152,"Rapides Parish, Louisiana",22079,75.22,LA-Rapides Parish,"10,361 ","11,796 "
1153,"Red River Parish, Louisiana",22081,73.99,LA-Red River Parish,"13,484 ","16,116 "
1154,"Richland Parish, Louisiana",22083,74.34,LA-Richland Parish,"11,452 ","13,374 "
1155,"Sabine Parish, Louisiana",22085,75.40,LA-Sabine Parish,"10,491 ","11,689 "
1156,"Saint Bernard Parish, Louisiana",22087,74.31,LA-St. Bernard Parish,"11,498 ","12,159 "
1157,"Saint Charles Parish, Louisiana",22089,76.82,LA-St. Charles Parish,"10,548 ","11,150 "
1158,"Saint Helena Parish, Louisiana",22091,74.73,LA-St. Helena Parish,"15,408 ","17,314 "
1159,"Saint James Parish, Louisiana",22093,76.69,LA-St. James Parish,"9,703 ","10,772 "
1160,"Saint John the Baptist Parish, Louisiana",22095,75.00,LA-St. John the Baptist Parish,"7,865 ","8,229 "
1161,"Saint Landry Parish, Louisiana",22097,74.03,LA-St. Landry Parish,"9,970 ","11,584 "
1162,"Saint Martin Parish, Louisiana",22099,75.92,LA-St. Martin Parish,"9,405 ","11,140 "
1163,"Saint Mary Parish, Louisiana",22101,75.16,LA-St. Mary Parish,"10,073 ","11,476 "
1164,"Saint Tammany Parish, Louisiana",22103,77.64,LA-St. Tammany Parish,"11,515 ","12,841 "
1165,"Tangipahoa Parish, Louisiana",22105,74.26,LA-Tangipahoa Parish,"12,857 ","14,142 "
1166,"Tensas Parish, Louisiana",22107,74.35,LA-Tensas Parish,"10,089 ","11,716 "
1167,"Terrebonne Parish, Louisiana",22109,75.40,LA-Terrebonne Parish,"9,577 ","10,957 "
1168,"Union Parish, Louisiana",22111,75.33,LA-Union Parish,"11,904 ","13,310 "
1169,"Vermilion Parish, Louisiana",22113,76.52,LA-Vermilion Parish,"9,878 ","11,364 "
1170,"Vernon Parish, Louisiana",22115,75.98,LA-Vernon Parish,"11,267 ","13,086 "
1171,"Washington Parish, Louisiana",22117,72.79,LA-Washington Parish,"12,805 ","14,646 "
1172,"Webster Parish, Louisiana",22119,74.14,LA-Webster Parish,"11,352 ","12,328 "
1173,"West Baton Rouge Parish, Louisiana",22121,75.93,LA-West Baton Rouge Parish,"10,014 ","11,287 "
1174,"West Carroll Parish, Louisiana",22123,75.22,LA-West Carroll Parish,"11,724 ","13,487 "
1175,"West Feliciana Parish, Louisiana",22125,76.75,LA-West Feliciana Parish,"14,483 ","13,674 "
1176,"Winn Parish, Louisiana",22127,74.28,LA-Winn Parish,"11,310 ","12,921 "
1177,"Androscoggin County, Maine",23001,78.28,ME-Androscoggin County,"8,697 ","9,436 "
1178,"Aroostook County, Maine",23003,78.71,ME-Aroostook County,"8,982 ","9,300 "
1179,"Cumberland County, Maine",23005,80.37,ME-Cumberland County,"9,040 ","9,174 "
1180,"Franklin County, Maine",23007,79.22,ME-Franklin County,"8,172 ","8,608 "
1181,"Hancock County, Maine",23009,79.79,ME-Hancock County,"9,193 ","9,875 "
1182,"Kennebec County, Maine",23011,78.53,ME-Kennebec County,"8,486 ","9,122 "
1183,"Knox County, Maine",23013,80.29,ME-Knox County,"7,892 ","8,085 "
1184,"Lincoln County, Maine",23015,80.11,ME-Lincoln County,"8,682 ","9,023 "
1185,"Oxford County, Maine",23017,78.47,ME-Oxford County,"8,823 ","9,449 "
1186,"Penobscot County, Maine",23019,78.64,ME-Penobscot County,"9,580 ","10,259 "
1187,"Piscataquis County, Maine",23021,78.03,ME-Piscataquis County,"9,559 ","10,120 "
1188,"Sagadahoc County, Maine",23023,79.99,ME-Sagadahoc County,"7,843 ","8,081 "
1189,"Somerset County, Maine",23025,78.05,ME-Somerset County,"10,301 ","10,503 "
1190,"Waldo County, Maine",23027,79.34,ME-Waldo County,"8,964 ","8,762 "
1191,"Washington County, Maine",23029,77.22,ME-Washington County,"8,923 ","9,795 "
1192,"York County, Maine",23031,80.15,ME-York County,"8,774 ","8,877 "
1193,"Allegany County, Maryland",24001,77.60,MD-Allegany County,"12,346 ","11,215 "
1194,"Anne Arundel County, Maryland",24003,79.16,MD-Anne Arundel County,"10,660 ","9,626 "
1195,"Baltimore City, Maryland",24510,72.14,MD-Baltimore city,"13,022 ","10,877 "
1196,"Baltimore County, Maryland",24005,79.52,MD-Baltimore County,"11,838 ","10,230 "
1197,"Calvert County, Maryland",24009,79.25,MD-Calvert County,"10,717 ","9,614 "
1198,"Caroline County, Maryland",24011,76.42,MD-Caroline County,"11,278 ","10,213 "
1199,"Carroll County, Maryland",24013,79.28,MD-Carroll County,"10,982 ","9,539 "
1200,"Cecil County, Maryland",24015,77.01,MD-Cecil County,"12,040 ","10,799 "
1201,"Charles County, Maryland",24017,78.63,MD-Charles County,"10,982 ","9,877 "
1202,"Dorchester County, Maryland",24019,77.03,MD-Dorchester County,"10,532 ","9,665 "
1203,"Frederick County, Maryland",24021,80.42,MD-Frederick County,"10,745 ","9,719 "
1204,"Garrett County, Maryland",24023,78.86,MD-Garrett County,"9,624 ","9,379 "
1205,"Harford County, Maryland",24025,79.54,MD-Harford County,"11,325 ","10,206 "
1206,"Howard County, Maryland",24027,82.98,MD-Howard County,"10,068 ","9,059 "
1207,"Kent County, Maryland",24029,79.02,MD-Kent County,"10,819 ","9,721 "
1208,"Montgomery County, Maryland",24031,81.48,MD-Montgomery County,"9,541 ","8,857 "
1209,"Prince George's County, Maryland",24033,81.48,MD-Prince George's County,"10,136 ","9,059 "
1210,"Queen Anne's County, Maryland",24035,79.83,MD-Queen Anne's County,"10,124 ","9,448 "
1211,"Saint Mary's County, Maryland",24037,78.83,MD-St. Mary's County,"10,890 ","10,076 "
1212,"Somerset County, Maryland",24039,76.94,MD-Somerset County,"10,826 ","9,750 "
1213,"Talbot County, Maryland",24041,80.45,MD-Talbot County,"10,884 ","9,761 "
1214,"Washington County, Maryland",24043,78.07,MD-Washington County,"10,874 ","10,115 "
1215,"Wicomico County, Maryland",24045,77.03,MD-Wicomico County,"10,655 ","9,689 "
1216,"Worcester County, Maryland",24047,79.32,MD-Worcester County,"10,230 ","9,464 "
1217,"Barnstable County, Massachusetts",25001,80.75,MA-Barnstable County,"11,239 ","9,916 "
1218,"Berkshire County, Massachusetts",25003,80.12,MA-Berkshire County,"10,700 ","9,515 "
1219,"Bristol County, Massachusetts",25005,79.20,MA-Bristol County,"11,622 ","10,626 "
1220,"Dukes County, Massachusetts",25007,82.05,MA-Dukes County,"11,983 ","10,587 "
1221,"Essex County, Massachusetts",25009,80.51,MA-Essex County,"11,307 ","10,204 "
1222,"Franklin County, Massachusetts",25011,80.27,MA-Franklin County,"9,776 ","8,904 "
1223,"Hampden County, Massachusetts",25013,78.85,MA-Hampden County,"10,444 ","9,425 "
1224,"Hampshire County, Massachusetts",25015,80.76,MA-Hampshire County,"9,673 ","8,872 "
1225,"Middlesex County, Massachusetts",25017,81.63,MA-Middlesex County,"11,314 ","9,991 "
1226,"Nantucket County, Massachusetts",25019,81.60,MA-Nantucket County,"9,434 ","8,301 "
1227,"Norfolk County, Massachusetts",25021,81.38,MA-Norfolk County,"11,810 ","10,256 "
1228,"Plymouth County, Massachusetts",25023,79.63,MA-Plymouth County,"12,115 ","10,722 "
1229,"Suffolk County, Massachusetts",25025,79.89,MA-Suffolk County,"12,427 ","10,100 "
1230,"Worcester County, Massachusetts",25027,79.66,MA-Worcester County,"11,861 ","10,329 "
1231,"Alcona County, Michigan",26001,78.26,MI-Alcona County,"8,544 ","8,884 "
1232,"Alger County, Michigan",26003,79.49,MI-Alger County,"8,374 ","8,683 "
1233,"Allegan County, Michigan",26005,79.13,MI-Allegan County,"9,445 ","9,599 "
1234,"Alpena County, Michigan",26007,78.70,MI-Alpena County,"9,707 ","10,203 "
1235,"Antrim County, Michigan",26009,80.13,MI-Antrim County,"8,138 ","8,395 "
1236,"Arenac County, Michigan",26011,77.24,MI-Arenac County,"9,709 ","10,558 "
1237,"Baraga County, Michigan",26013,78.01,MI-Baraga County,"10,117 ","10,566 "
1238,"Barry County, Michigan",26015,79.35,MI-Barry County,"9,150 ","9,394 "
1239,"Bay County, Michigan",26017,78.37,MI-Bay County,"10,686 ","11,180 "
1240,"Benzie County, Michigan",26019,79.66,MI-Benzie County,"8,532 ","8,725 "
1241,"Berrien County, Michigan",26021,77.66,MI-Berrien County,"8,794 ","9,270 "
1242,"Branch County, Michigan",26023,78.04,MI-Branch County,"9,120 ","9,662 "
1243,"Calhoun County, Michigan",26025,77.04,MI-Calhoun County,"10,066 ","10,296 "
1244,"Cass County, Michigan",26027,78.49,MI-Cass County,"8,955 ","9,251 "
1245,"Charlevoix County, Michigan",26029,80.05,MI-Charlevoix County,"8,086 ","8,443 "
1246,"Cheboygan County, Michigan",26031,79.22,MI-Cheboygan County,"9,642 ","10,060 "
1247,"Chippewa County, Michigan",26033,79.57,MI-Chippewa County,"9,038 ","9,234 "
1248,"Clare County, Michigan",26035,76.22,MI-Clare County,"10,020 ","10,457 "
1249,"Clinton County, Michigan",26037,80.62,MI-Clinton County,"9,930 ","9,789 "
1250,"Crawford County, Michigan",26039,77.96,MI-Crawford County,"9,270 ","9,634 "
1251,"Delta County, Michigan",26041,79.75,MI-Delta County,"7,686 ","7,970 "
1252,"Dickinson County, Michigan",26043,79.73,MI-Dickinson County,"8,215 ","8,925 "
1253,"Eaton County, Michigan",26045,79.66,MI-Eaton County,"10,068 ","9,830 "
1254,"Emmet County, Michigan",26047,80.05,MI-Emmet County,"8,679 ","9,047 "
1255,"Genesee County, Michigan",26049,76.06,MI-Genesee County,"12,402 ","11,749 "
1256,"Gladwin County, Michigan",26051,77.62,MI-Gladwin County,"9,212 ","9,555 "
1257,"Gogebic County, Michigan",26053,78.56,MI-Gogebic County,"8,166 ","8,756 "
1258,"Grand Traverse County, Michigan",26055,80.57,MI-Grand Traverse County,"9,042 ","9,309 "
1259,"Gratiot County, Michigan",26057,78.45,MI-Gratiot County,"9,920 ","10,250 "
1260,"Hillsdale County, Michigan",26059,78.33,MI-Hillsdale County,"9,525 ","9,911 "
1261,"Houghton County, Michigan",26061,79.00,MI-Houghton County,"8,476 ","8,641 "
1262,"Huron County, Michigan",26063,78.39,MI-Huron County,"10,933 ","11,470 "
1263,"Ingham County, Michigan",26065,78.69,MI-Ingham County,"10,372 ","10,150 "
1264,"Ionia County, Michigan",26067,78.44,MI-Ionia County,"10,156 ","10,325 "
1265,"Iosco County, Michigan",26069,77.38,MI-Iosco County,"9,336 ","9,920 "
1266,"Iron County, Michigan",26071,79.24,MI-Iron County,"9,875 ","9,743 "
1267,"Isabella County, Michigan",26073,79.06,MI-Isabella County,"9,456 ","10,133 "
1268,"Jackson County, Michigan",26075,77.84,MI-Jackson County,"10,494 ","10,920 "
1269,"Kalamazoo County, Michigan",26077,79.11,MI-Kalamazoo County,"9,392 ","9,307 "
1270,"Kalkaska County, Michigan",26079,77.85,MI-Kalkaska County,"9,092 ","9,017 "
1271,"Kent County, Michigan",26081,79.78,MI-Kent County,"9,172 ","9,428 "
1272,"Keweenaw County, Michigan",26083,80.20,MI-Keweenaw County,"9,261 ","9,480 "
1273,"Lake County, Michigan",26085,76.82,MI-Lake County,"9,772 ","10,185 "
1274,"Lapeer County, Michigan",26087,78.64,MI-Lapeer County,"10,843 ","11,254 "
1275,"Leelanau County, Michigan",26089,83.10,MI-Leelanau County,"8,627 ","8,826 "
1276,"Lenawee County, Michigan",26091,78.69,MI-Lenawee County,"8,862 ","9,361 "
1277,"Livingston County, Michigan",26093,80.20,MI-Livingston County,"10,301 ","10,275 "
1278,"Luce County, Michigan",26095,78.65,MI-Luce County,"10,616 ","11,268 "
1279,"Mackinac County, Michigan",26097,79.13,MI-Mackinac County,"9,358 ","9,729 "
1280,"Macomb County, Michigan",26099,78.44,MI-Macomb County,"11,878 ","12,162 "
1281,"Manistee County, Michigan",26101,78.87,MI-Manistee County,"9,029 ","8,949 "
1282,"Marquette County, Michigan",26103,79.31,MI-Marquette County,"8,231 ","8,401 "
1283,"Mason County, Michigan",26105,78.73,MI-Mason County,"8,970 ","9,389 "
1284,"Mecosta County, Michigan",26107,79.19,MI-Mecosta County,"8,935 ","9,455 "
1285,"Menominee County, Michigan",26109,79.74,MI-Menominee County,"8,822 ","9,330 "
1286,"Midland County, Michigan",26111,80.54,MI-Midland County,"9,415 ","9,633 "
1287,"Missaukee County, Michigan",26113,78.49,MI-Missaukee County,"8,596 ","9,106 "
1288,"Monroe County, Michigan",26115,78.27,MI-Monroe County,"10,666 ","11,250 "
1289,"Montcalm County, Michigan",26117,77.78,MI-Montcalm County,"9,444 ","9,749 "
1290,"Montmorency County, Michigan",26119,77.43,MI-Montmorency County,"9,279 ","9,670 "
1291,"Muskegon County, Michigan",26121,77.65,MI-Muskegon County,"9,410 ","9,745 "
1292,"Newaygo County, Michigan",26123,78.10,MI-Newaygo County,"8,703 ","9,095 "
1293,"Oakland County, Michigan",26125,79.98,MI-Oakland County,"11,392 ","11,487 "
1294,"Oceana County, Michigan",26127,78.86,MI-Oceana County,"9,246 ","9,816 "
1295,"Ogemaw County, Michigan",26129,76.67,MI-Ogemaw County,"10,211 ","10,837 "
1296,"Ontonagon County, Michigan",26131,78.40,MI-Ontonagon County,"9,649 ","9,903 "
1297,"Osceola County, Michigan",26133,78.21,MI-Osceola County,"8,876 ","9,488 "
1298,"Oscoda County, Michigan",26135,77.35,MI-Oscoda County,"9,522 ","9,926 "
1299,"Otsego County, Michigan",26137,79.21,MI-Otsego County,"9,103 ","9,494 "
1300,"Ottawa County, Michigan",26139,81.45,MI-Ottawa County,"8,741 ","9,206 "
1301,"Presque Isle County, Michigan",26141,79.70,MI-Presque Isle County,"8,976 ","9,405 "
1302,"Roscommon County, Michigan",26143,77.13,MI-Roscommon County,"9,996 ","10,433 "
1303,"Saginaw County, Michigan",26145,77.66,MI-Saginaw County,"9,919 ","10,593 "
1304,"Saint Clair County, Michigan",26147,77.75,MI-St. Clair County,"10,336 ","10,911 "
1305,"Saint Joseph County, Michigan",26149,77.23,MI-St. Joseph County,"8,773 ","9,035 "
1306,"Sanilac County, Michigan",26151,78.27,MI-Sanilac County,"10,761 ","11,483 "
1307,"Schoolcraft County, Michigan",26153,78.61,MI-Schoolcraft County,"9,967 ","9,997 "
1308,"Shiawassee County, Michigan",26155,77.88,MI-Shiawassee County,"9,992 ","10,118 "
1309,"Tuscola County, Michigan",26157,78.08,MI-Tuscola County,"10,436 ","11,062 "
1310,"Van Buren County, Michigan",26159,77.69,MI-Van Buren County,"9,385 ","9,332 "
1311,"Washtenaw County, Michigan",26161,81.09,MI-Washtenaw County,"9,434 ","9,340 "
1312,"Wayne County, Michigan",26163,75.33,MI-Wayne County,"12,071 ","12,120 "
1313,"Wexford County, Michigan",26165,77.83,MI-Wexford County,"8,809 ","9,327 "
1314,"Aitkin County, Minnesota",27001,80.35,MN-Aitkin County,"9,100 ","8,963 "
1315,"Anoka County, Minnesota",27003,81.18,MN-Anoka County,"9,484 ","9,323 "
