,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
757,"Parke County, Indiana",18121,78.02,IN-Parke County,"9,867 ","10,262 "
758,"Perry County, Indiana",18123,77.72,IN-Perry County,"10,314 ","10,868 "
759,"Pike County, Indiana",18125,77.64,IN-Pike County,"8,937 ","9,887 "
760,"Porter County, Indiana",18127,78.72,IN-Porter County,"11,065 ","11,664 "
761,"Posey County, Indiana",18129,78.93,IN-Posey County,"9,433 ","10,329 "
762,"Pulaski County, Indiana",18131,77.21,IN-Pulaski County,"10,568 ","11,248 "
763,"Putnam County, Indiana",18133,78.36,IN-Putnam County,"9,660 ","9,881 "
764,"Randolph County, Indiana",18135,77.81,IN-Randolph County,"9,500 ","9,906 "
765,"Ripley County, Indiana",18137,77.86,IN-Ripley County,"12,663 ","9,450 "
766,"Rush County, Indiana",18139,77.65,IN-Rush County,"9,516 ","10,299 "
767,"Saint Joseph County, Indiana",18141,77.98,IN-St. Joseph County,"8,964 ","9,365 "
768,"Scott County, Indiana",18143,73.42,IN-Scott County,"10,277 ","11,381 "
769,"Shelby County, Indiana",18145,77.75,IN-Shelby County,"10,802 ","11,135 "
770,"Spencer County, Indiana",18147,78.99,IN-Spencer County,"9,071 ","10,082 "
771,"Starke County, Indiana",18149,74.66,IN-Starke County,"9,418 ","9,990 "
772,"Steuben County, Indiana",18151,78.85,IN-Steuben County,"8,614 ","9,278 "
773,"Sullivan County, Indiana",18153,75.80,IN-Sullivan County,"10,871 ","11,314 "
774,"Switzerland County, Indiana",18155,76.50,IN-Switzerland County,"8,454 ","9,236 "
775,"Tippecanoe County, Indiana",18157,79.14,IN-Tippecanoe County,"9,380 ","9,780 "
776,"Tipton County, Indiana",18159,78.70,IN-Tipton County,"11,072 ","10,921 "
777,"Union County, Indiana",18161,77.70,IN-Union County,"9,342 ","9,795 "
778,"Vanderburgh County, Indiana",18163,77.18,IN-Vanderburgh County,"9,702 ","10,728 "
779,"Vermillion County, Indiana",18165,75.83,IN-Vermillion County,"10,146 ","10,544 "
