,FIPS,Location,Life Expectancy,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
2012,48423,"Smith County, Texas",77.77,0.7249,0.5371,0.4358,0.9013,0.773
2013,48431,"Sterling County, Texas",77.49,0.4409,0.354,0.425,0.8637,0.2719
2014,48447,"Throckmorton County, Texas",77.91,0.2515,0.3158,0.6272,0.6074,0.0347
2015,48451,"Tom Green County, Texas",77.50,0.6262,0.3706,0.2875,0.8863,0.8698
2016,48459,"Upshur County, Texas",75.24,0.5941,0.5861,0.5591,0.6355,0.4744
2017,48485,"Wichita County, Texas",75.66,0.7622,0.54,0.5438,0.8112,0.8927
2018,48487,"Wilbarger County, Texas",75.57,0.9013,0.6721,0.9465,0.8459,0.8739
2019,48497,"Wise County, Texas",76.71,0.5113,0.4101,0.5479,0.7443,0.4304
2020,49003,"Box Elder County, Utah",79.50,0.1923,0.2974,0.2394,0.496,0.0996
2021,49005,"Cache County, Utah",81.97,0.3136,0.3493,0.0583,0.6527,0.4737
2022,49007,"Carbon County, Utah",76.52,0.6001,0.5798,0.6275,0.4811,0.5896
2023,49011,"Davis County, Utah",80.74,0.0961,0.0506,0.135,0.5269,0.1598
2024,49015,"Emery County, Utah",77.99,0.212,0.3155,0.3286,0.4171,0.1232
2025,49027,"Millard County, Utah",79.28,0.3467,0.298,0.2945,0.7189,0.3225
2026,49029,"Morgan County, Utah",81.47,0.0022,0.0306,0.0525,0.2614,0.0016
2027,49033,"Rich County, Utah",81.10,0.276,0.4107,0.312,0.4909,0.1493
2028,49041,"Sevier County, Utah",77.95,0.3324,0.469,0.2139,0.4336,0.3098
2029,49043,"Summit County, Utah",82.39,0.0694,0.006,0.0691,0.6858,0.1302
2030,49045,"Tooele County, Utah",78.21,0.2687,0.3009,0.2681,0.6059,0.1907
2031,49047,"Uintah County, Utah",77.99,0.3193,0.3056,0.1675,0.6052,0.4113
2032,49051,"Wasatch County, Utah",80.61,0.1038,0.07,0.0758,0.7023,0.1433
2033,49055,"Wayne County, Utah",79.47,0.233,0.2789,0.2572,0.4992,0.2006
2034,49057,"Weber County, Utah",78.80,0.4241,0.3037,0.2894,0.7714,0.4897
2035,50007,"Chittenden County, Vermont",81.39,0.156,0.0729,0.0181,0.5164,0.758
2036,51003,"Albemarle County, Virginia",81.18,0.1328,0.0449,0.0306,0.7186,0.4082
2037,51005,"Alleghany County, Virginia",76.35,0.3719,0.4906,0.4747,0.2862,0.3352
2038,51021,"Bland County, Virginia",75.79,0.2684,0.38299999999999995,0.1668,0.1028,0.588
2039,51036,"Charles City County, Virginia",77.53,0.2607,0.5209,0.2178,0.5189,0.0614
2040,51045,"Craig County, Virginia",78.24,0.2668,0.4476,0.4441,0.013999999999999999,0.3547
2041,51087,"Henrico County, Virginia",79.44,0.2633,0.1792,0.2133,0.8822,0.2073
2042,51091,"Highland County, Virginia",79.75,0.0911,0.2502,0.311,0.001,0.1458
2043,51103,"Lancaster County, Virginia",78.17,0.1197,0.1783,0.2251,0.3894,0.1124
2044,51115,"Mathews County, Virginia",79.19,0.0178,0.0379,0.1837,0.2486,0.0134
2045,51117,"Mecklenburg County, Virginia",76.13,0.6848,0.6813,0.6746,0.4862,0.6364
2046,51119,"Middlesex County, Virginia",78.00,0.2095,0.2248,0.2757,0.3292,0.3219
2047,51133,"Northumberland County, Virginia",79.60,0.1439,0.2668,0.1713,0.405,0.1006
2048,51141,"Patrick County, Virginia",76.93,0.5947,0.8198,0.4766,0.4715,0.2636
2049,51145,"Powhatan County, Virginia",80.08,0.0118,0.0748,0.0204,0.3235,0.0589
2050,51147,"Prince Edward County, Virginia",76.98,0.7982,0.7214,0.0856,0.7835,0.9863
2051,51149,"Prince George County, Virginia",79.41,0.3715,0.40399999999999997,0.1595,0.6912,0.3814
2052,51159,"Richmond County, Virginia",76.81,0.6975,0.7058,0.113,0.8079999999999999,0.8099
2053,51163,"Rockbridge County, Virginia",79.28,0.0984,0.3101,0.1897,0.2206,0.0468
2054,51167,"Russell County, Virginia",74.71,0.418,0.7103,0.3419,0.0796,0.3875
2055,51169,"Scott County, Virginia",75.44,0.6488,0.7972,0.4301,0.1172,0.8083
2056,51179,"Stafford County, Virginia",80.10,0.1356,0.0258,0.2286,0.7787,0.1258
2057,51185,"Tazewell County, Virginia",74.31,0.5801,0.7313,0.3569,0.192,0.7154
2058,51610,"Falls Church City, Virginia",81.81,0.1347,0.0153,0.0528,0.7647,0.3585
