County,County Code,Deaths,Population,Crude Rate
"Taylor County, WV",54091,3602,315291,1142.4
"Tucker County, WV",54093,1683,135380,1243.2
"Tyler County, WV",54095,2206,176456,1250.2
"Upshur County, WV",54097,5043,456805,1104
"Wayne County, WV",54099,9073,801504,1132
"Webster County, WV",54101,2266,175301,1292.6
"Wetzel County, WV",54103,4112,316902,1297.6
"Wirt County, WV",54105,1106,110416,1001.7
"Wood County, WV",54107,19330,1649739,1171.7
"Wyoming County, WV",54109,5975,452923,1319.2
"Adams County, WI",55001,4663,388193,1201.2
"Ashland County, WI",55003,3624,309225,1172
"Barron County, WI",55005,9194,866191,1061.4
"Bayfield County, WI",55007,2928,286401,1022.3
"Brown County, WI",55009,32669,4640127,704.1
"Buffalo County, WI",55011,2522,258355,976.2
"Burnett County, WI",55013,3403,297250,1144.8
"Calumet County, WI",55015,5886,889622,661.6
"Chippewa County, WI",55017,10109,1148429,880.2
"Clark County, WI",55019,6284,651876,964
"Columbia County, WI",55021,9784,1055012,927.4
"Crawford County, WI",55023,3309,318213,1039.9
"Dane County, WI",55025,54423,9090574,598.7
"Dodge County, WI",55027,16462,1671275,985
"Door County, WI",55029,6048,530496,1140.1
"Douglas County, WI",55031,8196,830245,987.2
"Dunn County, WI",55033,5692,812971,700.1
"Eau Claire County, WI",55035,14343,1857358,772.2
"Florence County, WI",55037,1065,89077,1195.6
"Fond du Lac County, WI",55039,17562,1905639,921.6
"Forest County, WI",55041,2179,180876,1204.7
"Grant County, WI",55043,9465,964234,981.6
"Green County, WI",55045,6232,680783,915.4
"Green Lake County, WI",55047,4390,362165,1212.2
"Iowa County, WI",55049,3787,445554,850
"Iron County, WI",55051,1682,117916,1426.4
"Jackson County, WI",55053,3802,381232,997.3
"Jefferson County, WI",55055,11869,1544984,768.2
"Juneau County, WI",55057,5418,494352,1096
"Kenosha County, WI",55059,24949,3075356,811.3
"Kewaunee County, WI",55061,3489,389238,896.4
"La Crosse County, WI",55063,17707,2143443,826.1
"Lafayette County, WI",55065,2656,316393,839.5
"Langlade County, WI",55067,4430,381957,1159.8
"Lincoln County, WI",55069,6084,550402,1105.4
"Manitowoc County, WI",55071,15673,1545958,1013.8
"Marathon County, WI",55073,20272,2499416,811.1
"Marinette County, WI",55075,9486,799316,1186.8
"Marquette County, WI",55077,3291,289824,1135.5
"Menominee County, WI",55078,756,83894,901.1
"Milwaukee County, WI",55079,159731,17937124,890.5
"Monroe County, WI",55081,7774,828722,938.1
"Oconto County, WI",55083,6556,705968,928.7
"Oneida County, WI",55085,8089,689381,1173.4
"Outagamie County, WI",55087,23150,3298798,701.8
"Ozaukee County, WI",55089,12893,1627504,792.2
"Pepin County, WI",55091,1402,140776,995.9
"Pierce County, WI",55093,4705,754434,623.6
"Polk County, WI",55095,7925,824054,961.7
"Portage County, WI",55097,9195,1312631,700.5
"Price County, WI",55099,3557,276437,1286.7
"Racine County, WI",55101,31075,3672234,846.2
"Richland County, WI",55103,3405,340986,998.6
"Rock County, WI",55105,26415,3005017,879
"Rusk County, WI",55107,3357,280969,1194.8
"St. Croix County, WI",55109,9562,1501075,637
"Sauk County, WI",55111,10745,1143558,939.6
"Sawyer County, WI",55113,3741,312970,1195.3
"Shawano County, WI",55115,8469,785617,1078
"Sheboygan County, WI",55117,20151,2176111,926
"Taylor County, WI",55119,3426,385785,888.1
"Trempealeau County, WI",55121,5469,539960,1012.9
"Vernon County, WI",55123,5663,558806,1013.4
"Vilas County, WI",55125,5163,410080,1259
"Walworth County, WI",55127,16397,1899856,863.1
"Washburn County, WI",55129,3667,302566,1212
"Washington County, WI",55131,18170,2430814,747.5
"Waukesha County, WI",55133,56951,7281219,782.2
"Waupaca County, WI",55135,13172,991846,1328
"Waushara County, WI",55137,5015,460453,1089.1
"Winnebago County, WI",55139,25723,3121370,824.1
"Wood County, WI",55141,13817,1416436,975.5
