County,County Code,Deaths,Population,Crude Rate
"Perry County, IN",18123,3806,364817,1043.3
"Pike County, IN",18125,2728,243500,1120.3
"Porter County, IN",18127,24456,3031014,806.9
"Posey County, IN",18129,4381,497150,881.2
"Pulaski County, IN",18131,2872,254302,1129.4
"Putnam County, IN",18133,6211,710834,873.8
"Randolph County, IN",18135,5508,498301,1105.4
"Ripley County, IN",18137,5268,534006,986.5
"Rush County, IN",18139,3624,332696,1089.3
"St. Joseph County, IN",18141,47471,5063237,937.6
"Scott County, IN",18143,5182,450868,1149.3
"Shelby County, IN",18145,7939,836825,948.7
"Spencer County, IN",18147,3537,393917,897.9
"Starke County, IN",18149,5060,441962,1144.9
"Steuben County, IN",18151,5550,644838,860.7
"Sullivan County, IN",18153,4586,407270,1126
"Switzerland County, IN",18155,1837,192637,953.6
"Tippecanoe County, IN",18157,20507,3191832,642.5
"Tipton County, IN",18159,3166,304432,1040
"Union County, IN",18161,1310,139649,938.1
"Vanderburgh County, IN",18163,35841,3375668,1061.7
"Vermillion County, IN",18165,4010,309150,1297.1
"Vigo County, IN",18167,21794,2030107,1073.5
"Wabash County, IN",18169,7670,632466,1212.7
"Warren County, IN",18171,1577,160738,981.1
"Warrick County, IN",18173,9339,1097757,850.7
"Washington County, IN",18175,5312,529170,1003.8
"Wayne County, IN",18177,15619,1312259,1190.2
"Wells County, IN",18179,5097,527615,966
"White County, IN",18181,5051,470279,1074
"Whitley County, IN",18183,5540,618190,896.2
"Adair County, IA",19001,2129,146941,1448.9
"Adams County, IA",19003,1003,78155,1283.3
"Allamakee County, IA",19005,3136,270991,1157.2
"Appanoose County, IA",19007,3333,248215,1342.8
"Audubon County, IA",19009,1672,117777,1419.6
"Benton County, IA",19011,4351,491065,886
"Black Hawk County, IA",19013,21902,2464582,888.7
"Boone County, IA",19015,5487,500877,1095.5
"Bremer County, IA",19017,4138,458173,903.2
"Buchanan County, IA",19019,3813,398851,956
"Buena Vista County, IA",19021,3636,384408,945.9
"Butler County, IA",19023,3581,284150,1260.2
"Calhoun County, IA",19025,2736,192980,1417.8
"Carroll County, IA",19027,4553,396278,1148.9
"Cass County, IA",19029,3665,264646,1384.9
"Cedar County, IA",19031,3319,348353,952.8
"Cerro Gordo County, IA",19033,9643,844819,1141.4
"Cherokee County, IA",19035,3003,231790,1295.6
"Chickasaw County, IA",19037,2587,238412,1085.1
"Clarke County, IA",19039,1988,175516,1132.7
"Clay County, IA",19041,3531,318660,1108.1
"Clayton County, IA",19043,3841,344624,1114.5
"Clinton County, IA",19045,10348,931286,1111.2
"Crawford County, IA",19047,3208,323666,991.1
"Dallas County, IA",19049,6857,1172578,584.8
"Davis County, IA",19051,1674,165029,1014.4
"Decatur County, IA",19053,1818,160192,1134.9
"Delaware County, IA",19055,3108,338968,916.9
"Des Moines County, IA",19057,8403,771557,1089.1
"Dickinson County, IA",19059,3574,317712,1124.9
"Dubuque County, IA",19061,16495,1762873,935.7
"Emmet County, IA",19063,2419,196673,1230
"Fayette County, IA",19065,4795,399615,1199.9
"Floyd County, IA",19067,3801,310773,1223.1
"Franklin County, IA",19069,2395,201294,1189.8
"Fremont County, IA",19071,1796,141749,1267
"Greene County, IA",19073,2366,181778,1301.6
"Grundy County, IA",19075,2568,235218,1091.8
"Guthrie County, IA",19077,2511,209444,1198.9
"Hamilton County, IA",19079,3245,300408,1080.2
"Hancock County, IA",19081,2401,218236,1100.2
"Hardin County, IA",19083,4501,338768,1328.6
"Harrison County, IA",19085,3562,284457,1252.2
"Henry County, IA",19087,4004,383869,1043.1
"Howard County, IA",19089,2224,183142,1214.4
"Humboldt County, IA",19091,2261,188621,1198.7
"Ida County, IA",19093,1896,138612,1367.8
"Iowa County, IA",19095,3246,307313,1056.3
"Jackson County, IA",19097,4128,377914,1092.3
"Jasper County, IA",19099,6946,704510,985.9
"Jefferson County, IA",19101,2925,318725,917.7
"Johnson County, IA",19103,11335,2430609,466.3
"Jones County, IA",19105,3699,389884,948.7
"Keokuk County, IA",19107,2313,203375,1137.3
"Kossuth County, IA",19109,3520,302596,1163.3
"Lee County, IA",19111,8268,686469,1204.4
"Linn County, IA",19113,30237,3934881,768.4
"Louisa County, IA",19115,2087,222003,940.1
"Lucas County, IA",19117,2096,172494,1215.1
"Lyon County, IA",19119,2253,221936,1015.2
"Madison County, IA",19121,2717,287995,943.4
"Mahaska County, IA",19123,4196,424800,987.8
"Marion County, IA",19125,6287,626951,1002.8
"Marshall County, IA",19127,9078,761687,1191.8
"Mills County, IA",19129,2610,282531,923.8
"Mitchell County, IA",19131,2516,205079,1226.8
"Monona County, IA",19133,2981,178632,1668.8
"Monroe County, IA",19135,1949,151234,1288.7
"Montgomery County, IA",19137,2896,207149,1398
"Muscatine County, IA",19139,7354,804909,913.6
"O'Brien County, IA",19141,3629,274346,1322.8
"Osceola County, IA",19143,1470,124551,1180.2
"Page County, IA",19145,4053,305811,1325.3
"Palo Alto County, IA",19147,2465,181264,1359.9
"Plymouth County, IA",19149,4633,473589,978.3
"Pocahontas County, IA",19151,1966,145236,1353.7
"Polk County, IA",19153,57974,8000247,724.7
"Pottawattamie County, IA",19155,16678,1732404,962.7
"Poweshiek County, IA",19157,4196,357989,1172.1
"Ringgold County, IA",19159,1511,98996,1526.3
"Sac County, IA",19161,2777,200911,1382.2
"Scott County, IA",19163,26134,3113537,839.4
"Shelby County, IA",19165,2802,235345,1190.6
"Sioux County, IA",19167,4785,633938,754.8
"Story County, IA",19169,9247,1665036,555.4
"Tama County, IA",19171,3855,338486,1138.9
"Taylor County, IA",19173,1631,122981,1326.2
"Union County, IA",19175,2837,234970,1207.4
"Van Buren County, IA",19177,1794,143888,1246.8
"Wapello County, IA",19179,7840,675460,1160.7
"Warren County, IA",19181,6932,855665,810.1
"Washington County, IA",19183,4497,410023,1096.8
"Wayne County, IA",19185,1796,123243,1457.3
"Webster County, IA",19187,8733,727956,1199.7
"Winnebago County, IA",19189,2480,209608,1183.2
"Winneshiek County, IA",19191,3470,398615,870.5
"Woodbury County, IA",19193,17685,1940988,911.1
"Worth County, IA",19195,1740,145580,1195.2
"Wright County, IA",19197,3278,255312,1283.9
"Allen County, KS",20001,3404,256723,1325.9
"Anderson County, KS",20003,1880,152629,1231.7
"Atchison County, KS",20005,3485,318418,1094.5
"Barber County, KS",20007,1254,94128,1332.2
"Barton County, KS",20009,5818,522780,1112.9
"Bourbon County, KS",20011,3677,285636,1287.3
"Brown County, KS",20013,2530,191960,1318
"Butler County, KS",20015,10977,1213027,904.9
"Chase County, KS",20017,688,54072,1272.4
"Chautauqua County, KS",20019,1181,72434,1630.4
"Cherokee County, KS",20021,5105,409820,1245.7
"Cheyenne County, KS",20023,755,53983,1398.6
"Clark County, KS",20025,605,42555,1421.7
"Clay County, KS",20027,2049,161285,1270.4
"Cloud County, KS",20029,2790,182550,1528.3
"Coffey County, KS",20031,1960,163272,1200.5
"Comanche County, KS",20033,640,36216,1767.2
"Cowley County, KS",20035,8169,686416,1190.1
"Crawford County, KS",20037,8314,738564,1125.7
"Decatur County, KS",20039,962,58832,1635.2
"Dickinson County, KS",20041,4494,368640,1219.1
"Doniphan County, KS",20043,1568,151381,1035.8
"Douglas County, KS",20045,11499,2076572,553.7
"Edwards County, KS",20047,799,59302,1347.3
"Elk County, KS",20049,923,55280,1669.7
"Ellis County, KS",20051,4675,535322,873.3
"Ellsworth County, KS",20053,1608,122325,1314.5
"Finney County, KS",20055,3840,710480,540.5
"Ford County, KS",20057,4676,630729,741.4
"Franklin County, KS",20059,4695,485245,967.6
"Geary County, KS",20061,3847,599127,642.1
"Gove County, KS",20063,742,53297,1392.2
"Graham County, KS",20065,712,51463,1383.5
"Grant County, KS",20067,1015,148001,685.8
"Gray County, KS",20069,977,113135,863.6
"Greeley County, KS",20071,342,25324,1350.5
"Greenwood County, KS",20073,2090,131224,1592.7
"Hamilton County, KS",20075,556,49999,1112
"Harper County, KS",20077,1864,115446,1614.6
"Harvey County, KS",20079,7089,647098,1095.5
"Haskell County, KS",20081,566,79580,711.2
"Hodgeman County, KS",20083,421,37867,1111.8
"Jackson County, KS",20085,2533,250601,1010.8
"Jefferson County, KS",20087,3289,358802,916.7
"Jewell County, KS",20089,896,61475,1457.5
"Johnson County, KS",20091,62060,9983178,621.6
"Kearny County, KS",20093,722,77972,926
"Kingman County, KS",20095,2157,153142,1408.5
"Kiowa County, KS",20097,595,53286,1116.6
"Labette County, KS",20099,5331,411508,1295.5
"Lane County, KS",20101,523,34693,1507.5
"Leavenworth County, KS",20103,10411,1417149,734.6
"Lincoln County, KS",20105,873,63096,1383.6
"Linn County, KS",20107,2121,183925,1153.2
"Logan County, KS",20109,695,54277,1280.5
"Lyon County, KS",20111,5478,660804,829
"McPherson County, KS",20113,6865,555400,1236
"Marion County, KS",20115,3285,241679,1359.2
"Marshall County, KS",20117,2573,194664,1321.8
"Meade County, KS",20119,942,85362,1103.5
"Miami County, KS",20121,5025,594888,844.7
"Mitchell County, KS",20123,1761,122961,1432.2
"Montgomery County, KS",20125,8770,663210,1322.4
"Morris County, KS",20127,1457,111609,1305.5
"Morton County, KS",20129,672,61284,1096.5
"Nemaha County, KS",20131,2618,196078,1335.2
"Neosho County, KS",20133,3822,314490,1215.3
"Ness County, KS",20135,906,60158,1506
"Norton County, KS",20137,1293,108379,1193
"Osage County, KS",20139,3527,311202,1133.3
"Osborne County, KS",20141,1256,75562,1662.2
"Ottawa County, KS",20143,1423,115568,1231.3
"Pawnee County, KS",20145,1572,132195,1189.2
"Phillips County, KS",20147,1514,107304,1410.9
"Pottawatomie County, KS",20149,3228,395290,816.6
"Pratt County, KS",20151,2272,183549,1237.8
"Rawlins County, KS",20153,772,50862,1517.8
"Reno County, KS",20155,13520,1216667,1111.2
"Republic County, KS",20157,1699,97701,1739
"Rice County, KS",20159,2447,194230,1259.8
"Riley County, KS",20161,6082,1309907,464.3
"Rooks County, KS",20163,1311,100871,1299.7
"Rush County, KS",20165,1007,62943,1599.9
"Russell County, KS",20167,1878,133378,1408
"Saline County, KS",20169,9937,1041424,954.2
"Scott County, KS",20171,1038,93530,1109.8
"Sedgwick County, KS",20173,75466,9202185,820.1
"Seward County, KS",20175,2587,432074,598.7
"Shawnee County, KS",20177,32924,3321708,991.2
"Sheridan County, KS",20179,608,49552,1227
"Sherman County, KS",20181,1393,117470,1185.8
"Smith County, KS",20183,1265,76160,1661
"Stafford County, KS",20185,1183,84722,1396.3
"Stanton County, KS",20187,367,42499,863.5
"Stevens County, KS",20189,920,106069,867.4
"Sumner County, KS",20191,5180,464172,1116
"Thomas County, KS",20193,1461,150453,971.1
"Trego County, KS",20195,905,57695,1568.6
"Wabaunsee County, KS",20197,1269,131693,963.6
"Wallace County, KS",20199,353,29685,1189.2
"Washington County, KS",20201,1585,112435,1409.7
"Wichita County, KS",20203,467,43679,1069.2
"Wilson County, KS",20205,2539,181485,1399
"Woodson County, KS",20207,1067,64723,1648.6
"Wyandotte County, KS",20209,26999,3006068,898.2
"Adair County, KY",21001,3502,349533,1001.9
"Allen County, KY",21003,3926,369333,1063
"Anderson County, KY",21005,3531,394984,894
"Ballard County, KY",21007,2036,156240,1303.1
"Barren County, KY",21009,8579,782898,1095.8
"Bath County, KY",21011,2599,221546,1173.1
"Bell County, KY",21013,7149,545088,1311.5
"Boone County, KY",21015,13095,2111919,620.1
"Bourbon County, KY",21017,3922,376678,1041.2
"Boyd County, KY",21019,11527,934838,1233
"Boyle County, KY",21021,5886,540329,1089.3
"Bracken County, KY",21023,1722,160025,1076.1
"Breathitt County, KY",21025,3526,273219,1290.5
"Breckinridge County, KY",21027,4157,372861,1114.9
"Bullitt County, KY",21029,8960,1354644,661.4
"Butler County, KY",21031,2663,244553,1088.9
"Caldwell County, KY",21033,3185,244267,1303.9
"Calloway County, KY",21035,6930,693833,998.8
"Campbell County, KY",21037,15970,1705208,936.5
"Carlisle County, KY",21039,1314,97308,1350.4
"Carroll County, KY",21041,2290,201272,1137.8
"Carter County, KY",21043,5750,520676,1104.3
"Casey County, KY",21045,3582,300320,1192.7
"Christian County, KY",21047,11257,1383964,813.4
"Clark County, KY",21049,6772,661670,1023.5
"Clay County, KY",21051,4673,426086,1096.7
"Clinton County, KY",21053,2366,190592,1241.4
"Crittenden County, KY",21055,2364,175869,1344.2
"Cumberland County, KY",21057,1965,132012,1488.5
"Daviess County, KY",21059,18176,1812538,1002.8
"Edmonson County, KY",21061,2331,227342,1025.3
"Elliott County, KY",21063,1390,138166,1006
"Estill County, KY",21065,3439,280504,1226
"Fayette County, KY",21067,39803,5487290,725.4
"Fleming County, KY",21069,3094,271525,1139.5
"Floyd County, KY",21071,9580,757759,1264.3
"Franklin County, KY",21073,9255,932208,992.8
"Fulton County, KY",21075,2037,131524,1548.8
"Gallatin County, KY",21077,1716,158384,1083.4
"Garrard County, KY",21079,2901,311785,930.4
"Grant County, KY",21081,3950,458540,861.4
"Graves County, KY",21083,8518,704693,1208.8
"Grayson County, KY",21085,5511,481680,1144.1
"Green County, KY",21087,2579,215210,1198.4
"Greenup County, KY",21089,8205,695718,1179.4
"Hancock County, KY",21091,1444,162703,887.5
"Hardin County, KY",21093,14743,1916644,769.2
"Harlan County, KY",21095,7994,567487,1408.7
"Harrison County, KY",21097,3936,351087,1121.1
"Hart County, KY",21099,3858,343629,1122.7
"Henderson County, KY",21101,8979,869666,1032.5
"Henry County, KY",21103,3109,292829,1061.7
"Hickman County, KY",21105,1256,93896,1337.7
"Hopkins County, KY",21107,10914,884550,1233.8
"Jackson County, KY",21109,2891,256141,1128.7
"Jefferson County, KY",21111,137406,13864177,991.1
"Jessamine County, KY",21113,6986,878033,795.6
"Johnson County, KY",21115,5318,442054,1203
"Kenton County, KY",21117,26140,3000188,871.3
"Knott County, KY",21119,3540,315454,1122.2
"Knox County, KY",21121,7123,601094,1185
"Larue County, KY",21123,2953,264129,1118
"Laurel County, KY",21125,10467,1089893,960.4
"Lawrence County, KY",21127,3548,299315,1185.4
"Lee County, KY",21129,1873,145099,1290.8
"Leslie County, KY",21131,2741,218156,1256.4
"Letcher County, KY",21133,5818,460587,1263.2
"Lewis County, KY",21135,2974,262846,1131.5
"Lincoln County, KY",21137,4960,462244,1073
"Livingston County, KY",21139,2311,181062,1276.4
"Logan County, KY",21141,5618,508084,1105.7
"Lyon County, KY",21143,2058,156960,1311.2
"McCracken County, KY",21145,14810,1237386,1196.9
"McCreary County, KY",21147,3574,336861,1061
"McLean County, KY",21149,2247,183459,1224.8
"Madison County, KY",21151,12056,1535199,785.3
"Magoffin County, KY",21153,2731,249721,1093.6
"Marion County, KY",21155,3646,366374,995.2
"Marshall County, KY",21157,7432,588128,1263.7
"Martin County, KY",21159,2471,242020,1021
"Mason County, KY",21161,3914,325606,1202.1
"Meade County, KY",21163,3791,543906,697
"Menifee County, KY",21165,1360,122424,1110.9
"Mercer County, KY",21167,4667,402547,1159.4
"Metcalfe County, KY",21169,2397,190898,1255.6
"Monroe County, KY",21171,2843,211492,1344.3
"Montgomery County, KY",21173,4751,484106,981.4
"Morgan County, KY",21175,2521,263094,958.2
"Muhlenberg County, KY",21177,7322,597497,1225.4
"Nelson County, KY",21179,6650,797360,834
"Nicholas County, KY",21181,1833,134126,1366.6
"Ohio County, KY",21183,5025,450264,1116
"Oldham County, KY",21185,6105,1085326,562.5
"Owen County, KY",21187,2067,204584,1010.3
"Owsley County, KY",21189,1413,89512,1578.6
"Pendleton County, KY",21191,2616,278593,939
"Perry County, KY",21193,7267,542220,1340.2
"Pike County, KY",21195,15171,1235265,1228.2
"Powell County, KY",21197,2848,242649,1173.7
"Pulaski County, KY",21199,13616,1161428,1172.3
"Robertson County, KY",21201,620,42629,1454.4
"Rockcastle County, KY",21203,3613,320264,1128.1
"Rowan County, KY",21205,3854,438213,879.5
"Russell County, KY",21207,4026,326892,1231.6
"Scott County, KY",21209,5559,833431,667
"Shelby County, KY",21211,5909,764457,773
"Simpson County, KY",21213,3425,327241,1046.6
"Spencer County, KY",21215,2166,299375,723.5
"Taylor County, KY",21217,5173,459579,1125.6
"Todd County, KY",21219,2518,232393,1083.5
"Trigg County, KY",21221,3051,261479,1166.8
"Trimble County, KY",21223,1642,164850,996.1
"Union County, KY",21225,3233,288402,1121
"Warren County, KY",21227,16260,2070379,785.4
"Washington County, KY",21229,2373,219577,1080.7
"Wayne County, KY",21231,4186,389163,1075.6
"Webster County, KY",21233,3129,260142,1202.8
"Whitley County, KY",21235,8460,683256,1238.2
"Wolfe County, KY",21237,1889,136591,1383
"Woodford County, KY",21239,3996,465854,857.8
"Acadia Parish, LA",22001,11982,1155492,1037
"Allen Parish, LA",22003,4143,485782,852.9
"Ascension Parish, LA",22005,11814,1901452,621.3
"Assumption Parish, LA",22007,3982,440890,903.2
"Avoyelles Parish, LA",22009,9265,788321,1175.3
"Beauregard Parish, LA",22011,6517,662515,983.7
"Bienville Parish, LA",22013,4026,277510,1450.8
"Bossier Parish, LA",22015,17078,2153133,793.2
"Caddo Parish, LA",22017,51188,4782894,1070.2
"Calcasieu Parish, LA",22019,35430,3618614,979.1
"Caldwell Parish, LA",22021,2376,193867,1225.6
"Cameron Parish, LA",22023,1092,153144,713.1
"Catahoula Parish, LA",22025,2454,197824,1240.5
"Claiborne Parish, LA",22027,3739,319004,1172.1
"Concordia Parish, LA",22029,4488,385396,1164.5
"De Soto Parish, LA",22031,5522,501438,1101.2
"East Baton Rouge Parish, LA",22033,67269,8183805,822
"East Carroll Parish, LA",22035,1753,154332,1135.9
"East Feliciana Parish, LA",22037,4394,385755,1139.1
"Evangeline Parish, LA",22039,7164,652457,1098
"Franklin Parish, LA",22041,5116,394033,1298.4
"Grant Parish, LA",22043,3923,399109,982.9
"Iberia Parish, LA",22045,13249,1392075,951.7
"Iberville Parish, LA",22047,6034,631317,955.8
"Jackson Parish, LA",22049,3704,301207,1229.7
"Jefferson Parish, LA",22051,77934,8391142,928.8
"Jefferson Davis Parish, LA",22053,6790,596396,1138.5
"Lafayette Parish, LA",22055,29924,4084291,732.7
"Lafourche Parish, LA",22057,15323,1799313,851.6
"LaSalle Parish, LA",22059,3174,277952,1141.9
"Lincoln Parish, LA",22061,6784,863792,785.4
"Livingston Parish, LA",22063,16684,2255238,739.8
"Madison Parish, LA",22065,2795,236207,1183.3
"Morehouse Parish, LA",22067,7181,541622,1325.8
"Natchitoches Parish, LA",22069,7312,743774,983.1
"Orleans Parish, LA",22071,71225,7567342,941.2
"Ouachita Parish, LA",22073,27589,2889565,954.8
"Plaquemines Parish, LA",22075,3691,473394,779.7
"Pointe Coupee Parish, LA",22077,4670,428600,1089.6
"Rapides Parish, LA",22079,25966,2466171,1052.9
"Red River Parish, LA",22081,2081,173474,1199.6
"Richland Parish, LA",22083,4641,393480,1179.5
"Sabine Parish, LA",22085,5178,454455,1139.4
"St. Bernard Parish, LA",22087,9138,927560,985.2
"St. Charles Parish, LA",22089,7072,975781,724.8
"St. Helena Parish, LA",22091,2176,204281,1065.2
"St. James Parish, LA",22093,3655,410938,889.4
"St. John the Baptist Parish, LA",22095,6898,849737,811.8
"St. Landry Parish, LA",22097,17780,1607415,1106.1
"St. Martin Parish, LA",22099,8297,976653,849.5
"St. Mary Parish, LA",22101,10061,1015744,990.5
"St. Tammany Parish, LA",22103,35026,4279069,818.5
"Tangipahoa Parish, LA",22105,20900,2201559,949.3
"Tensas Parish, LA",22107,1265,104126,1214.9
"Terrebonne Parish, LA",22109,17809,2085631,853.9
"Union Parish, LA",22111,4959,430431,1152.1
"Vermilion Parish, LA",22113,10351,1084543,954.4
"Vernon Parish, LA",22115,6893,979328,703.8
"Washington Parish, LA",22117,10761,868427,1239.1
"Webster Parish, LA",22119,10102,778675,1297.3
"West Baton Rouge Parish, LA",22121,3555,444137,800.4
"West Carroll Parish, LA",22123,2754,222958,1235.2
"West Feliciana Parish, LA",22125,2124,292695,725.7
"Winn Parish, LA",22127,3541,295025,1200.2
"Androscoggin County, ME",23001,19991,2028619,985.4
"Aroostook County, ME",23003,16057,1361153,1179.7
"Cumberland County, ME",23005,46575,5306985,877.6
"Franklin County, ME",23007,5623,574305,979.1
"Hancock County, ME",23009,10754,1021868,1052.4
"Kennebec County, ME",23011,23136,2289291,1010.6
"Knox County, ME",23013,8463,759131,1114.8
"Lincoln County, ME",23015,7525,651894,1154.3
"Oxford County, ME",23017,11764,1081378,1087.9
"Penobscot County, ME",23019,27507,2866036,959.8
"Piscataquis County, ME",23021,4240,328630,1290.2
"Sagadahoc County, ME",23023,6229,673954,924.2
"Somerset County, ME",23025,10305,978589,1053
"Waldo County, ME",23027,6901,728803,946.9
"Washington County, ME",23029,8089,624711,1294.8
"York County, ME",23031,33359,3738628,892.3
"Allegany County, MD",24001,17387,1406115,1236.5
"Anne Arundel County, MD",24003,73315,10065197,728.4
"Baltimore County, MD",24005,146349,15155278,965.7
"Calvert County, MD",24009,11345,1631607,695.3
"Caroline County, MD",24011,6112,605424,1009.5
"Carroll County, MD",24013,25678,3111734,825.2
"Cecil County, MD",24015,15516,1848942,839.2
"Charles County, MD",24017,16752,2697923,620.9
"Dorchester County, MD",24019,7281,604402,1204.7
"Frederick County, MD",24021,28856,4302829,670.6
"Garrett County, MD",24023,5808,568241,1022.1
"Harford County, MD",24025,34091,4551782,749
"Howard County, MD",24027,25613,5357023,478.1
"Kent County, MD",24029,4814,374824,1284.3
"Montgomery County, MD",24031,103585,18193755,569.3
"Prince George's County, MD",24033,103869,16328668,636.1
"Queen Anne's County, MD",24035,7047,873894,806.4
"St. Mary's County, MD",24037,12851,1916162,670.7
"Somerset County, MD",24039,4872,491636,991
"Talbot County, MD",24041,8134,693879,1172.3
"Washington County, MD",24043,26493,2727919,971.2
"Wicomico County, MD",24045,16813,1806641,930.6
"Worcester County, MD",24047,11054,955341,1157.1
"Baltimore city, MD",24510,136813,11895220,1150.2
"Barnstable County, MA",25001,52962,4153482,1275.1
"Berkshire County, MA",25003,28642,2494232,1148.3
"Bristol County, MA",25005,96803,10399992,930.8
"Dukes County, MA",25007,2572,308530,833.6
"Essex County, MA",25009,122262,14147870,864.2
"Franklin County, MA",25011,12637,1356421,931.6
"Hampden County, MA",25013,84875,8794940,965
"Hampshire County, MA",25015,23094,2984718,773.7
"Middlesex County, MA",25017,211880,28595780,740.9
"Nantucket County, MA",25019,1241,191988,646.4
"Norfolk County, MA",25021,106640,12702487,839.5
"Plymouth County, MA",25023,79142,9356181,845.9
"Suffolk County, MA",25025,94210,13734836,685.9
"Worcester County, MA",25027,128919,15011745,858.8
"Alcona County, MI",26001,3317,210744,1573.9
"Alger County, MI",26003,2157,182199,1183.9
"Allegan County, MI",26005,16970,2109096,804.6
"Alpena County, MI",26007,6777,569344,1190.3
"Antrim County, MI",26009,4709,448475,1050
"Arenac County, MI",26011,3785,310058,1220.7
"Baraga County, MI",26013,1983,166671,1189.8
"Barry County, MI",26015,9458,1119666,844.7
"Bay County, MI",26017,21784,2050874,1062.2
"Benzie County, MI",26019,3507,328298,1068.2
"Berrien County, MI",26021,31547,2997369,1052.5
"Branch County, MI",26023,8211,861407,953.2
"Calhoun County, MI",26025,27512,2599035,1058.5
"Cass County, MI",26027,9438,985999,957.2
"Charlevoix County, MI",26029,4909,498678,984.4
"Cheboygan County, MI",26031,5650,501063,1127.6
"Chippewa County, MI",26033,6234,734319,848.9
"Clare County, MI",26035,7474,590786,1265.1
"Clinton County, MI",26037,9836,1384284,710.5
"Crawford County, MI",26039,3044,269923,1127.7
"Delta County, MI",26041,7960,710902,1119.7
"Dickinson County, MI",26043,5927,504542,1174.7
"Eaton County, MI",26045,16885,2039895,827.7
"Emmet County, MI",26047,5963,620437,961.1
"Genesee County, MI",26049,78717,8137669,967.3
"Gladwin County, MI",26051,6130,493730,1241.6
"Gogebic County, MI",26053,4441,313249,1417.7
"Grand Traverse County, MI",26055,14031,1627631,862.1
"Gratiot County, MI",26057,8271,799792,1034.1
"Hillsdale County, MI",26059,8465,886180,955.2
"Houghton County, MI",26061,7118,687866,1034.8
"Huron County, MI",26063,8529,640801,1331
"Ingham County, MI",26065,37717,5372612,702
"Ionia County, MI",26067,9117,1213786,751.1
"Iosco County, MI",26069,7418,499111,1486.2
"Iron County, MI",26071,3794,229693,1651.8
"Isabella County, MI",26073,8217,1299040,632.5
"Jackson County, MI",26075,29618,3048129,971.7
"Kalamazoo County, MI",26077,37608,4730723,795
"Kalkaska County, MI",26079,3202,326950,979.4
"Kent County, MI",26081,81414,11476333,709.4
"Keweenaw County, MI",26083,444,41263,1076
"Lake County, MI",26085,2876,218956,1313.5
"Lapeer County, MI",26087,13564,1695070,800.2
"Leelanau County, MI",26089,3854,411148,937.4
"Lenawee County, MI",26091,17714,1897706,933.4
"Livingston County, MI",26093,22372,3373317,663.2
"Luce County, MI",26095,1400,127385,1099
"Mackinac County, MI",26097,2615,215359,1214.3
"Macomb County, MI",26099,148148,15844825,935
"Manistee County, MI",26101,5620,470035,1195.7
"Marquette County, MI",26103,12067,1258884,958.5
"Mason County, MI",26105,6166,544956,1131.5
"Mecosta County, MI",26107,6780,807136,840
"Menominee County, MI",26109,5157,461965,1116.3
"Midland County, MI",26111,12898,1588615,811.9
"Missaukee County, MI",26113,2800,283262,988.5
"Monroe County, MI",26115,24889,2855114,871.7
"Montcalm County, MI",26117,10816,1196376,904.1
"Montmorency County, MI",26119,2925,187257,1562
"Muskegon County, MI",26121,30994,3271761,947.3
"Newaygo County, MI",26123,8640,921541,937.6
"Oakland County, MI",26125,181663,23033124,788.7
"Oceana County, MI",26127,4782,508988,939.5
"Ogemaw County, MI",26129,5652,410414,1377.1
"Ontonagon County, MI",26131,2036,131799,1544.8
"Osceola County, MI",26133,4358,446227,976.6
"Oscoda County, MI",26135,2267,168642,1344.3
"Otsego County, MI",26137,4388,459994,953.9
"Ottawa County, MI",26139,31139,4961283,627.6
"Presque Isle County, MI",26141,3542,259162,1366.7
"Roscommon County, MI",26143,7308,472091,1548
"Saginaw County, MI",26145,38962,3842332,1014
"St. Clair County, MI",26147,30195,3113569,969.8
"St. Joseph County, MI",26149,11610,1171923,990.7
"Sanilac County, MI",26151,8964,825512,1085.9
"Schoolcraft County, MI",26153,2122,162845,1303.1
"Shiawassee County, MI",26155,12583,1346476,934.5
"Tuscola County, MI",26157,10505,1068405,983.2
"Van Buren County, MI",26159,13483,1447680,931.4
"Washtenaw County, MI",26161,37769,6540959,577.4
"Wayne County, MI",26163,356498,35905338,992.9
"Wexford County, MI",26165,6147,611659,1005
"Aitkin County, MN",27001,3738,301702,1239
"Anoka County, MN",27003,31423,6183240,508.2
"Becker County, MN",27005,6330,610334,1037.1
"Beltrami County, MN",27007,6925,825905,838.5
"Benton County, MN",27009,6105,717171,851.3
"Big Stone County, MN",27011,1550,101899,1521.1
"Blue Earth County, MN",27013,8641,1176678,734.4
"Brown County, MN",27015,5440,495246,1098.4
"Carlton County, MN",27017,6639,653153,1016.5
"Carver County, MN",27019,7474,1651850,452.5
"Cass County, MN",27021,5736,538419,1065.3
"Chippewa County, MN",27023,2839,236499,1200.4
"Chisago County, MN",27025,6637,960355,691.1
"Clay County, MN",27027,8069,1080997,746.4
"Clearwater County, MN",27029,1899,163709,1160
"Cook County, MN",27031,904,98809,914.9
"Cottonwood County, MN",27033,2816,224278,1255.6
"Crow Wing County, MN",27035,11112,1151734,964.8
"Dakota County, MN",27037,38711,7417923,521.9
"Dodge County, MN",27039,2534,371026,683
"Douglas County, MN",27041,6876,673498,1020.9
"Faribault County, MN",27043,3747,283687,1320.8
"Fillmore County, MN",27045,4523,399214,1133
"Freeborn County, MN",27047,6896,598011,1153.2
"Goodhue County, MN",27049,8664,867755,998.4
"Grant County, MN",27051,1513,115823,1306.3
