,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
165,5109,18695.0,24.2,27.0,19.7,75.73
166,5111,17110.0,24.8,20.5,24.5,72.14
167,5113,19412.0,22.0,24.4,14.7,75.6
168,5115,20465.0,18.9,16.2,17.2,76.81
169,5117,18977.0,20.2,24.2,20.7,76.1
170,5119,27506.0,16.9,13.1,10.2,76.48
171,5121,19528.0,21.8,19.1,18.4,76.05
172,5123,16076.0,27.7,20.5,22.7,73.57
173,5125,26179.0,9.0,17.7,11.2,77.91
174,5127,18525.0,19.4,20.6,24.2,75.91
175,5129,17590.0,23.3,23.5,20.7,76.28
176,5131,23768.0,22.5,17.3,17.6,76.19
177,5133,16266.0,22.6,14.1,32.0,75.25
178,5135,16906.0,23.4,19.7,18.5,75.4
179,5137,19985.0,26.8,22.9,20.0,76.64
180,5139,21911.0,21.3,20.4,17.1,73.64
181,5141,18727.0,26.3,22.1,18.7,77.1
182,5143,24018.0,20.7,10.7,17.1,78.11
183,5145,22132.0,18.1,16.6,17.2,75.87
184,5147,17296.0,26.1,23.9,29.5,73.26
185,5149,18170.0,19.9,20.3,25.2,75.48
186,6001,36439.0,12.9,9.2,13.3,81.46
187,6003,24375.0,15.1,21.5,8.6,79.06
188,6005,27373.0,13.0,18.1,11.6,79.8
189,6007,24430.0,21.5,17.2,12.0,78.24
190,6009,29296.0,12.1,18.6,7.5,79.84
191,6011,22211.0,14.5,12.4,31.3,80.19
192,6013,38770.0,10.7,10.4,11.1,81.39
193,6015,19424.0,22.4,21.9,18.0,76.38
194,6017,35128.0,10.3,12.2,7.4,81.06
195,6019,20231.0,27.4,11.9,26.8,78.76
196,6021,21698.0,20.0,17.2,24.7,78.29
197,6023,23516.0,20.8,16.3,9.7,77.21
198,6025,16409.0,23.4,13.4,34.8,80.42
199,6027,27028.0,13.7,13.5,11.8,78.83
200,6029,20467.0,23.4,11.4,27.0,77.26
201,6031,18518.0,22.7,10.8,29.1,79.21
202,6033,21310.0,24.3,20.5,15.2,75.8
203,6035,19847.0,17.1,17.8,20.6,78.94
